Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19962,18,20,0
2,19948,29,23,0
3,19937,29,29,5
4,19906,48,37,9
5,19876,65,47,12
6,19852,65,64,19
7,19806,91,76,27
8,19757,110,94,39
9,19700,134,117,49
10,19623,176,130,71
11,19531,219,157,93
12,19429,258,200,113
13,19310,301,248,141
14,19141,377,304,178
15,18934,485,359,222
16,18701,588,438,273
17,18422,687,571,320
18,18013,894,694,399
19,17616,1029,871,484
20,17058,1312,1042,588
21,16445,1561,1280,714
22,15650,1907,1570,873
23,14822,2228,1882,1068
24,13866,2572,2233,1329
25,12809,2892,2655,1644
26,11682,3211,3107,2000
27,10432,3572,3591,2405
28,9233,3774,4073,2920
29,8015,3930,4609,3446
30,6800,3995,5144,4061
31,5717,3943,5613,4727
32,4653,3893,6017,5437
33,3761,3714,6315,6210
34,3025,3389,6563,7023
35,2463,3006,6601,7930
36,1973,2623,6592,8812
37,1607,2258,6456,9679
38,1299,1957,6218,10526
39,1067,1648,5937,11348
40,887,1375,5597,12141
41,789,1135,5240,12836
42,695,968,4828,13509
43,635,793,4449,14123
44,572,664,4050,14714
45,524,547,3700,15229
46,503,456,3379,15662
47,492,364,3075,16069
48,493,304,2798,16405
49,499,263,2504,16734
50,514,219,2228,17039
51,533,195,1948,17324
52,565,169,1742,17524
53,586,155,1557,17702
54,623,137,1369,17871
55,661,120,1190,18029
56,683,113,1067,18137
57,718,111,940,18231
58,760,101,837,18302
59,799,90,760,18351
60,870,75,688,18367
61,910,78,605,18407
62,976,73,528,18423
63,1045,55,485,18415
64,1081,51,439,18429
65,1126,50,391,18433
66,1181,53,341,18425
67,1230,49,300,18421
68,1282,48,272,18398
69,1330,54,246,18370
70,1369,49,228,18354
71,1428,41,214,18317
72,1466,40,191,18303
73,1520,36,172,18272
74,1580,35,157,18228
75,1630,34,148,18188
76,1692,35,138,18135
77,1728,35,124,18113
78,1771,40,112,18077
79,1841,34,103,18022
80,1887,36,97,17980
81,1934,39,90,17937
82,1989,33,92,17886
83,2050,30,88,17832
84,2110,27,86,17777
85,2170,21,87,17722
86,2221,22,76,17681
87,2282,23,64,17631
88,2317,14,56,17613
89,2368,9,55,17568
90,2431,9,51,17509
91,2477,9,47,17467
92,2527,9,43,17421
93,2581,8,40,17371
94,2639,6,36,17319
95,2697,6,35,17262
96,2747,7,28,17218
97,2813,7,28,17152
98,2855,6,29,17110
99,2921,7,28,17044
100,2966,9,21,17004
101,3013,9,19,16959
102,3064,8,19,16909
103,3118,8,21,16853
104,3163,6,24,16807
105,3211,6,21,16762
106,3273,5,20,16702
107,3309,6,17,16668
108,3350,10,13,16627
109,3401,9,11,16579
110,3456,7,14,16523
111,3498,7,14,16481
112,3552,5,16,16427
113,3601,6,15,16378
114,3639,8,16,16337
115,3677,5,19,16299
116,3723,4,17,16256
117,3764,5,14,16217
118,3810,9,12,16169
119,3849,9,13,16129
120,3897,8,14,16081
121,3944,8,15,16033
122,3989,9,17,15985
