Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19958,22,20,0
2,19946,33,19,2
3,19937,31,26,6
4,19919,38,32,11
5,19900,47,36,17
6,19876,60,42,22
7,19833,84,56,27
8,19796,98,66,40
9,19747,112,94,47
10,19683,154,101,62
11,19608,185,134,73
12,19504,233,169,94
13,19396,277,209,118
14,19245,360,256,139
15,19104,401,310,185
16,18900,491,378,231
17,18634,617,485,264
18,18271,811,587,331
19,17903,929,766,402
20,17456,1089,958,497
21,16904,1345,1139,612
22,16223,1631,1397,749
23,15429,1958,1688,925
24,14616,2192,2038,1154
25,13590,2608,2343,1459
26,12518,2966,2754,1762
27,11370,3263,3249,2118
28,10176,3515,3765,2544
29,8938,3738,4288,3036
30,7695,3947,4797,3561
31,6490,4027,5250,4233
32,5369,3957,5723,4951
33,4422,3808,6059,5711
34,3587,3565,6359,6489
35,2891,3315,6503,7291
36,2306,3026,6574,8094
37,1855,2666,6541,8938
38,1492,2286,6416,9806
39,1227,1935,6205,10633
40,1030,1612,5942,11416
41,877,1330,5601,12192
42,778,1079,5161,12982
43,697,896,4765,13642
44,618,765,4363,14254
45,572,653,4005,14770
46,549,545,3663,15243
47,541,460,3309,15690
48,534,387,2980,16099
49,515,336,2689,16460
50,530,282,2408,16780
51,544,254,2160,17042
52,575,194,1957,17274
53,600,161,1740,17499
54,633,148,1522,17697
55,681,130,1364,17825
56,696,131,1199,17974
57,738,123,1044,18095
58,785,110,950,18155
59,824,106,821,18249
60,866,87,748,18299
61,909,83,676,18332
62,956,83,611,18350
63,1014,66,548,18372
64,1061,55,478,18406
65,1105,52,428,18415
66,1185,56,389,18370
67,1237,52,335,18376
68,1293,47,298,18362
69,1341,49,269,18341
70,1400,41,245,18314
71,1457,40,220,18283
72,1496,45,197,18262
73,1543,43,174,18240
74,1603,43,153,18201
75,1671,45,131,18153
76,1731,40,121,18108
77,1774,36,108,18082
78,1835,32,97,18036
79,1904,25,99,17972
80,1961,20,90,17929
81,2016,27,84,17873
82,2064,26,82,17828
83,2119,24,75,17782
84,2170,26,67,17737
85,2238,20,67,17675
86,2281,13,65,17641
87,2343,18,64,17575
88,2397,11,62,17530
89,2463,10,58,17469
90,2518,11,50,17421
91,2566,14,47,17373
92,2612,18,41,17329
93,2657,14,40,17289
94,2693,11,41,17255
95,2753,10,34,17203
96,2811,11,27,17151
97,2868,9,27,17096
98,2925,9,23,17043
99,2970,12,23,16995
100,3017,11,28,16944
101,3060,8,26,16906
102,3115,8,22,16855
103,3167,9,21,16803
104,3215,7,22,16756
105,3261,8,17,16714
106,3299,10,18,16673
107,3351,8,16,16625
108,3391,8,15,16586
109,3432,5,16,16547
110,3484,6,14,16496
111,3531,6,13,16450
112,3572,5,16,16407
113,3620,7,13,16360
114,3668,6,15,16311
115,3704,7,13,16276
116,3745,7,8,16240
117,3780,9,8,16203
118,3822,8,10,16160
119,3865,7,12,16116
120,3913,5,15,16067
121,3958,5,16,16021
122,3996,11,16,15977
123,4036,9,18,15937
124,4088,6,19,15887
125,4134,8,17,15841
126,4173,10,14,15803
127,4219,10,14,15757
128,4265,6,18,15711
129,4311,5,19,15665
130,4351,9,19,15621
131,4395,8,19,15578
132,4447,6,21,15526
133,4477,9,20,15494
134,4518,15,18,15449
135,4557,16,21,15406
136,4584,16,27,15373
137,4617,15,29,15339
138,4655,17,28,15300
139,4685,12,31,15272
140,4728,12,31,15229
141,4772,15,29,15184
142,4812,13,29,15146
143,4845,15,29,15111
144,4888,15,33,15064
145,4941,20,33,15006
146,4965,20,37,14978
147,5000,22,37,14941
148,5034,22,37,14907
149,5070,21,41,14868
150,5105,20,45,14830
151,5140,21,40,14799
152,5167,20,46,14767
153,5207,13,47,14733
154,5245,13,45,14697
155,5270,19,48,14663
156,5314,18,47,14621
157,5348,16,49,14587
158,5383,27,49,14541
159,5418,36,51,14495
160,5452,36,56,14456
161,5469,46,60,14425
162,5486,42,65,14407
163,5528,38,69,14365
164,5542,40,69,14349
165,5570,35,74,14321
166,5597,37,67,14299
167,5618,45,71,14266
168,5650,44,73,14233
169,5677,50,75,14198
170,5701,50,75,14174
171,5723,46,83,14148
172,5751,53,82,14114
173,5775,55,81,14089
174,5799,51,91,14059
175,5827,50,90,14033
176,5838,60,90,14012
177,5854,63,94,13989
178,5870,71,102,13957
179,5886,69,107,13938
180,5907,72,121,13900
181,5915,76,127,13882
182,5935,90,120,13855
183,5952,85,143,13820
184,5943,100,137,13820
185,5964,95,153,13788
186,5948,103,157,13792
187,5950,104,176,13770
188,5962,111,177,13750
189,5976,111,178,13735
190,5967,119,191,13723
191,5973,120,198,13709
192,5971,125,214,13690
