Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19954,21,23,2
3,19936,31,30,3
4,19917,41,36,6
5,19899,50,40,11
6,19875,58,50,17
7,19830,80,67,23
8,19779,108,78,35
9,19730,136,93,41
10,19655,166,129,50
11,19557,200,178,65
12,19431,265,217,87
13,19275,342,268,115
14,19092,447,303,158
15,18885,509,405,201
16,18596,649,493,262
17,18254,825,602,319
18,17877,956,766,401
19,17412,1147,940,501
20,16852,1397,1137,614
21,16204,1651,1389,756
22,15423,1975,1654,948
23,14508,2338,2013,1141
24,13531,2651,2403,1415
25,12420,3020,2851,1709
26,11272,3349,3288,2091
27,10089,3552,3812,2547
28,8819,3819,4322,3040
29,7573,4021,4796,3610
30,6475,3950,5331,4244
31,5402,3919,5734,4945
32,4445,3749,6111,5695
33,3609,3583,6348,6460
34,2905,3255,6548,7292
35,2307,2987,6530,8176
36,1887,2618,6434,9061
37,1549,2246,6331,9874
38,1260,1928,6080,10732
39,1048,1595,5876,11481
40,893,1318,5520,12269
41,784,1100,5122,12994
42,684,929,4743,13644
43,629,740,4406,14225
44,592,585,4026,14797
45,570,486,3627,15317
46,564,407,3274,15755
47,557,330,2955,16158
48,566,286,2653,16495
49,573,250,2381,16796
50,579,231,2134,17056
51,598,195,1877,17330
52,618,177,1669,17536
53,655,160,1484,17701
54,679,148,1325,17848
55,703,143,1184,17970
56,733,136,1050,18081
57,788,108,969,18135
58,836,101,867,18196
59,873,92,781,18254
60,900,93,690,18317
61,942,89,624,18345
62,978,89,565,18368
63,1036,70,508,18386
64,1080,59,453,18408
65,1135,56,397,18412
66,1200,47,345,18408
67,1264,47,308,18381
68,1318,46,283,18353
69,1364,50,247,18339
70,1430,50,225,18295
71,1476,49,218,18257
72,1531,46,202,18221
73,1586,46,185,18183
74,1635,46,163,18156
75,1678,42,162,18118
76,1740,43,144,18073
77,1791,39,142,18028
78,1849,42,134,17975
79,1920,37,120,17923
80,1978,28,114,17880
81,2035,20,105,17840
82,2075,27,88,17810
83,2119,27,79,17775
84,2171,23,77,17729
85,2217,20,71,17692
86,2257,22,65,17656
87,2312,23,59,17606
88,2354,24,52,17570
89,2412,20,49,17519
90,2482,17,46,17455
91,2536,14,48,17402
92,2599,11,45,17345
93,2644,12,45,17299
94,2700,12,46,17242
95,2757,11,39,17193
96,2795,14,38,17153
97,2854,13,39,17094
98,2903,12,31,17054
99,2969,11,32,16988
100,3029,10,33,16928
101,3088,7,35,16870
102,3142,11,32,16815
103,3189,11,31,16769
104,3218,13,31,16738
105,3269,13,34,16684
106,3320,7,37,16636
107,3364,9,33,16594
108,3402,10,29,16559
109,3449,13,26,16512
110,3486,11,25,16478
111,3537,8,28,16427
112,3580,14,27,16379
113,3639,18,25,16318
114,3700,17,24,16259
115,3745,11,29,16215
