Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19968,12,20,0
2,19957,23,16,4
3,19948,27,17,8
4,19938,32,19,11
5,19928,32,25,15
6,19904,49,28,19
7,19883,58,35,24
8,19861,66,46,27
9,19836,78,50,36
10,19803,92,62,43
11,19753,113,76,58
12,19706,128,100,66
13,19650,146,125,79
14,19559,193,145,103
15,19482,225,175,118
16,19363,275,222,140
17,19206,366,254,174
18,19016,454,324,206
19,18805,542,397,256
20,18559,651,481,309
21,18243,781,598,378
22,17838,985,714,463
23,17412,1132,891,565
24,16854,1363,1100,683
25,16219,1624,1341,816
26,15472,1915,1611,1002
27,14666,2185,1936,1213
28,13733,2505,2296,1466
29,12666,2891,2678,1765
30,11592,3157,3156,2095
31,10377,3453,3650,2520
32,9187,3654,4193,2966
33,7945,3875,4650,3530
34,6675,4030,5121,4174
35,5555,4025,5616,4804
36,4568,3938,5979,5515
37,3749,3665,6327,6259
38,3032,3371,6559,7038
39,2416,3035,6644,7905
40,1935,2696,6606,8763
41,1570,2336,6436,9658
42,1253,2007,6248,10492
43,1034,1674,5996,11296
44,867,1376,5680,12077
45,753,1121,5317,12809
46,650,947,4908,13495
47,589,805,4519,14087
48,543,659,4127,14671
49,512,536,3806,15146
50,499,446,3422,15633
51,490,369,3080,16061
52,487,316,2782,16415
53,498,248,2512,16742
54,527,201,2255,17017
55,538,182,1987,17293
56,565,154,1754,17527
57,605,138,1518,17739
58,635,134,1366,17865
59,655,123,1220,18002
60,676,110,1088,18126
61,733,93,968,18206
62,780,78,864,18278
63,841,76,776,18307
64,893,86,679,18342
65,932,83,610,18375
66,984,79,542,18395
67,1033,76,511,18380
68,1077,80,461,18382
69,1112,82,422,18384
70,1164,66,387,18383
71,1227,58,348,18367
72,1282,58,310,18350
73,1327,45,288,18340
74,1379,43,256,18322
75,1437,44,232,18287
76,1486,45,204,18265
77,1533,38,185,18244
78,1580,40,168,18212
79,1637,41,164,18158
80,1686,39,147,18128
81,1739,37,134,18090
82,1781,39,125,18055
83,1839,33,117,18011
84,1883,26,113,17978
85,1948,22,107,17923
86,2005,18,102,17875
87,2051,17,96,17836
88,2122,15,83,17780
89,2173,16,75,17736
90,2227,16,68,17689
91,2283,17,58,17642
92,2335,11,58,17596
93,2394,13,56,17537
94,2450,13,56,17481
95,2499,15,53,17433
96,2551,12,46,17391
97,2611,14,44,17331
98,2659,11,42,17288
99,2711,10,34,17245
100,2772,10,32,17186
101,2829,10,28,17133
102,2893,8,28,17071
103,2937,9,27,17027
104,2989,9,26,16976
105,3043,13,21,16923
106,3089,12,21,16878
107,3135,11,21,16833
108,3192,11,22,16775
109,3244,12,22,16722
110,3296,8,21,16675
111,3354,7,20,16619
112,3397,4,23,16576
113,3441,6,22,16531
114,3478,8,21,16493
115,3521,6,22,16451
116,3570,9,22,16399
