Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19963,17,20,0
2,19947,32,18,3
3,19936,35,24,5
4,19920,40,33,7
5,19899,50,39,12
6,19867,70,47,16
7,19843,74,58,25
8,19785,113,65,37
9,19743,122,86,49
10,19694,134,113,59
11,19614,169,146,71
12,19510,228,171,91
13,19400,280,205,115
14,19264,340,257,139
15,19074,435,314,177
16,18861,540,375,224
17,18642,600,493,265
18,18316,763,584,337
19,17931,937,713,419
20,17502,1089,909,500
21,16979,1296,1094,631
22,16365,1555,1307,773
23,15652,1842,1544,962
24,14867,2085,1885,1163
25,13937,2409,2259,1395
26,12877,2843,2557,1723
27,11769,3126,3037,2068
28,10624,3381,3537,2458
29,9415,3597,4052,2936
30,8171,3826,4537,3466
31,6970,3940,5002,4088
32,5858,3966,5459,4717
33,4855,3849,5844,5452
34,3961,3680,6137,6222
35,3186,3486,6315,7013
36,2567,3129,6462,7842
37,2076,2767,6505,8652
38,1688,2410,6427,9475
39,1388,2020,6269,10323
40,1150,1688,6010,11152
41,939,1440,5669,11952
42,804,1227,5311,12658
43,714,1024,4937,13325
44,638,857,4560,13945
45,597,694,4239,14470
46,560,570,3920,14950
47,532,490,3561,15417
48,517,411,3238,15834
49,511,347,2952,16190
50,524,289,2637,16550
51,540,249,2354,16857
52,553,223,2100,17124
53,566,190,1890,17354
54,592,157,1702,17549
55,621,139,1502,17738
56,676,118,1359,17847
57,706,114,1204,17976
58,729,117,1080,18074
59,779,99,956,18166
60,834,104,842,18220
61,866,90,762,18282
62,904,85,677,18334
63,949,83,609,18359
64,1001,92,533,18374
65,1039,86,473,18402
66,1083,77,426,18414
67,1136,69,384,18411
68,1188,65,348,18399
69,1243,59,312,18386
70,1293,64,273,18370
71,1361,50,257,18332
72,1422,57,234,18287
73,1479,52,209,18260
74,1548,42,188,18222
75,1615,40,162,18183
76,1667,36,154,18143
77,1729,32,144,18095
78,1807,30,129,18034
79,1866,26,128,17980
80,1930,29,117,17924
81,1995,29,110,17866
82,2049,31,94,17826
83,2091,27,89,17793
84,2144,25,85,17746
85,2200,31,81,17688
86,2254,31,73,17642
87,2307,27,70,17596
88,2357,24,62,17557
89,2397,23,62,17518
90,2461,23,58,17458
91,2518,22,56,17404
92,2566,21,51,17362
93,2620,12,52,17316
94,2672,14,48,17266
95,2723,12,45,17220
96,2783,12,39,17166
97,2834,13,33,17120
98,2878,10,34,17078
99,2932,7,35,17026
100,2983,6,32,16979
101,3030,8,29,16933
102,3089,13,27,16871
103,3126,13,25,16836
104,3179,11,27,16783
105,3228,16,25,16731
106,3287,11,25,16677
