Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19970,10,20,0
2,19956,21,18,5
3,19948,20,22,10
4,19934,27,27,12
5,19912,38,33,17
6,19892,46,41,21
7,19857,69,47,27
8,19831,73,66,30
9,19782,97,83,38
10,19722,133,101,44
11,19648,170,122,60
12,19563,207,156,74
13,19450,260,191,99
14,19327,303,248,122
15,19162,388,296,154
16,18978,461,361,200
17,18721,584,442,253
18,18473,649,567,311
19,18107,836,676,381
20,17646,1038,846,470
21,17167,1246,999,588
22,16552,1528,1209,711
23,15927,1732,1475,866
24,15095,2082,1770,1053
25,14196,2358,2177,1269
26,13140,2725,2600,1535
27,12063,3039,3027,1871
28,10851,3347,3537,2265
29,9627,3674,3967,2732
30,8418,3776,4543,3263
31,7193,3882,5082,3843
32,6021,3943,5564,4472
33,4992,3886,5908,5214
34,4112,3665,6268,5955
35,3327,3380,6524,6769
36,2673,3084,6660,7583
37,2128,2760,6691,8421
38,1720,2385,6573,9322
39,1387,2090,6357,10166
40,1155,1757,6110,10978
41,984,1491,5773,11752
42,852,1265,5358,12525
43,778,1036,4974,13212
44,710,855,4600,13835
45,655,713,4216,14416
46,625,561,3852,14962
47,594,471,3463,15472
48,575,400,3106,15919
49,585,336,2773,16306
50,592,285,2497,16626
51,597,249,2264,16890
52,623,209,2022,17146
53,639,183,1815,17363
54,673,163,1614,17550
55,706,162,1422,17710
56,740,144,1271,17845
57,784,129,1130,17957
58,824,128,1012,18036
59,860,117,907,18116
60,907,116,825,18152
61,943,109,728,18220
62,980,94,668,18258
63,1025,94,591,18290
64,1073,78,533,18316
65,1115,72,477,18336
66,1149,73,430,18348
67,1204,86,375,18335
68,1262,87,335,18316
69,1309,80,318,18293
70,1369,66,277,18288
71,1439,61,252,18248
72,1491,55,227,18227
73,1561,46,214,18179
74,1619,47,189,18145
75,1667,47,173,18113
76,1719,44,157,18080
77,1766,47,146,18041
78,1821,49,125,18005
79,1881,45,118,17956
80,1926,42,118,17914
81,1999,29,118,17854
82,2054,27,103,17816
83,2098,25,99,17778
84,2155,23,93,17729
85,2200,21,89,17690
86,2249,22,85,17644
87,2294,21,77,17608
88,2350,27,70,17553
89,2403,23,67,17507
90,2464,19,65,17452
