Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19957,19,22,2
3,19942,26,28,4
4,19917,42,34,7
5,19891,55,44,10
6,19859,81,42,18
7,19836,85,56,23
8,19788,106,70,36
9,19732,127,97,44
10,19672,153,116,59
11,19596,188,146,70
12,19500,231,180,89
13,19395,259,234,112
14,19232,346,281,141
15,19034,440,348,178
16,18777,574,429,220
17,18509,678,518,295
18,18166,835,642,357
19,17773,1021,773,433
20,17317,1188,966,529
21,16747,1406,1213,634
22,16080,1680,1435,805
23,15290,2016,1687,1007
24,14362,2346,2056,1236
25,13382,2671,2423,1524
26,12347,2933,2860,1860
27,11124,3335,3311,2230
28,9998,3544,3773,2685
29,8774,3764,4296,3166
30,7536,3934,4803,3727
31,6387,3996,5237,4380
32,5361,3899,5679,5061
33,4394,3737,6100,5769
34,3557,3491,6412,6540
35,2872,3154,6635,7339
36,2314,2797,6671,8218
37,1874,2487,6550,9089
38,1529,2111,6468,9892
39,1243,1818,6210,10729
40,1028,1530,5886,11556
41,881,1262,5525,12332
42,749,1074,5192,12985
43,660,918,4771,13651
44,599,775,4370,14256
45,560,625,3997,14818
46,538,518,3652,15292
47,516,453,3323,15708
48,528,376,2990,16106
49,544,314,2688,16454
50,546,286,2394,16774
51,570,241,2130,17059
52,595,201,1932,17272
53,627,175,1759,17439
54,642,166,1553,17639
55,686,152,1401,17761
56,714,131,1251,17904
57,753,128,1102,18017
58,803,114,989,18094
59,831,111,895,18163
60,868,97,803,18232
61,910,85,720,18285
62,950,84,636,18330
63,989,78,578,18355
64,1025,80,516,18379
65,1076,73,473,18378
66,1141,68,426,18365
67,1199,61,388,18352
68,1261,56,356,18327
69,1324,51,313,18312
70,1377,45,278,18300
71,1435,37,261,18267
72,1477,43,230,18250
73,1541,40,208,18211
74,1590,47,182,18181
75,1625,45,172,18158
76,1682,34,172,18112
77,1727,28,167,18078
78,1782,24,159,18035
79,1842,33,145,17980
80,1893,31,126,17950
81,1949,35,112,17904
82,1999,36,100,17865
83,2061,31,92,17816
84,2125,24,95,17756
85,2173,21,90,17716
86,2234,20,80,17666
87,2290,24,77,17609
88,2344,24,74,17558
89,2402,24,74,17500
90,2454,25,68,17453
91,2507,24,67,17402
92,2573,19,67,17341
93,2625,15,64,17296
94,2673,15,60,17252
95,2733,14,54,17199
96,2797,13,54,17136
97,2844,15,45,17096
98,2898,11,42,17049
99,2950,13,36,17001
100,2993,12,38,16957
101,3046,13,29,16912
102,3105,14,26,16855
103,3153,17,25,16805
104,3192,13,27,16768
105,3243,16,26,16715
106,3301,15,23,16661
107,3355,17,25,16603
108,3400,13,30,16557
109,3452,13,28,16507
110,3498,13,25,16464
111,3548,12,21,16419
112,3606,11,21,16362
113,3654,12,21,16313
114,3698,12,18,16272
115,3751,15,14,16220
