Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19968,12,20,0
2,19954,20,20,6
3,19938,32,17,13
4,19918,39,26,17
5,19909,35,32,24
6,19887,49,34,30
7,19870,52,46,32
8,19825,81,55,39
9,19770,108,74,48
10,19724,132,85,59
11,19669,149,108,74
12,19597,179,131,93
13,19477,241,180,102
14,19348,296,231,125
15,19194,366,284,156
16,19015,443,350,192
17,18767,556,443,234
18,18450,702,564,284
19,18116,814,719,351
20,17628,1057,867,448
21,17104,1288,1043,565
22,16515,1536,1251,698
23,15786,1858,1502,854
24,14945,2137,1885,1033
25,14001,2502,2211,1286
26,12928,2879,2640,1553
27,11776,3221,3090,1913
28,10607,3467,3585,2341
29,9354,3727,4154,2765
30,8104,3903,4697,3296
31,6874,4009,5171,3946
32,5702,4080,5554,4664
33,4652,3955,6023,5370
34,3821,3732,6258,6189
35,3072,3427,6474,7027
36,2480,3057,6636,7827
37,1980,2680,6652,8688
38,1585,2294,6552,9569
39,1277,1977,6335,10411
40,1046,1654,6100,11200
41,866,1388,5749,11997
42,723,1188,5374,12715
43,646,965,4961,13428
44,583,800,4581,14036
45,538,630,4242,14590
46,531,508,3885,15076
47,515,439,3497,15549
48,486,380,3148,15986
49,478,322,2831,16369
50,501,260,2567,16672
51,510,221,2289,16980
52,512,203,2013,17272
53,537,186,1793,17484
54,577,170,1598,17655
55,597,154,1415,17834
56,631,144,1290,17935
57,664,120,1138,18078
58,700,99,1023,18178
59,730,82,938,18250
60,768,85,824,18323
61,825,73,723,18379
62,872,68,641,18419
63,934,61,576,18429
64,989,51,539,18421
65,1052,61,453,18434
66,1111,51,412,18426
67,1181,43,361,18415
68,1227,48,317,18408
69,1284,46,287,18383
70,1345,45,263,18347
71,1405,40,242,18313
72,1457,45,226,18272
73,1506,43,207,18244
74,1569,39,190,18202
75,1630,36,172,18162
76,1668,39,161,18132
77,1716,37,146,18101
78,1782,36,133,18049
79,1835,33,116,18016
80,1911,26,107,17956
81,1971,29,92,17908
82,2028,27,87,17858
83,2100,22,83,17795
84,2155,22,77,17746
85,2204,20,65,17711
86,2265,17,62,17656
87,2312,19,62,17607
88,2374,17,59,17550
89,2433,19,50,17498
90,2468,19,45,17468
91,2514,19,40,17427
92,2575,12,43,17370
93,2627,9,45,17319
94,2676,11,40,17273
95,2734,10,42,17214
96,2794,14,37,17155
97,2847,13,40,17100
98,2902,18,32,17048
99,2954,20,32,16994
100,3000,14,34,16952
101,3048,16,30,16906
102,3086,14,34,16866
103,3135,15,38,16812
104,3185,16,39,16760
105,3234,15,37,16714
106,3282,17,33,16668
107,3341,13,37,16609
108,3379,13,38,16570
109,3413,14,34,16539
110,3455,16,33,16496
111,3497,15,38,16450
112,3536,18,36,16410
113,3578,15,38,16369
114,3619,19,33,16329
115,3659,19,34,16288
116,3702,23,34,16241
