Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19966,14,20,0
2,19953,23,19,5
3,19939,31,24,6
4,19923,38,30,9
5,19906,46,31,17
6,19886,53,40,21
7,19857,69,50,24
8,19824,83,63,30
9,19789,96,81,34
10,19731,127,97,45
11,19665,151,125,59
12,19566,215,148,71
13,19479,242,188,91
14,19332,324,220,124
15,19177,382,293,148
16,19002,437,375,186
17,18763,557,448,232
18,18494,647,576,283
19,18135,829,679,357
20,17731,1007,825,437
21,17233,1234,994,539
22,16620,1471,1230,679
23,15938,1734,1471,857
24,15144,2024,1788,1044
25,14233,2386,2100,1281
26,13209,2693,2548,1550
27,12113,3011,2949,1927
28,10885,3408,3388,2319
29,9685,3680,3860,2775
30,8417,3929,4311,3343
31,7306,3907,4869,3918
32,6179,3950,5323,4548
33,5168,3879,5640,5313
34,4240,3747,6004,6009
35,3453,3475,6277,6795
36,2811,3088,6500,7601
37,2294,2785,6492,8429
38,1884,2393,6472,9251
39,1550,2074,6285,10091
40,1304,1790,5977,10929
41,1073,1552,5718,11657
42,917,1288,5419,12376
43,801,1082,5062,13055
44,711,899,4668,13722
45,657,771,4264,14308
46,590,665,3934,14811
47,563,544,3604,15289
48,556,420,3307,15717
49,561,332,2964,16143
50,567,280,2684,16469
51,573,254,2389,16784
52,600,207,2130,17063
53,618,181,1883,17318
54,637,162,1670,17531
55,667,141,1490,17702
56,697,137,1326,17840
57,728,135,1174,17963
58,763,125,1073,18039
59,806,110,947,18137
60,854,96,860,18190
61,889,97,776,18238
62,937,89,724,18250
63,996,77,659,18268
64,1056,77,588,18279
65,1102,68,552,18278
66,1136,67,493,18304
67,1187,67,438,18308
68,1232,48,403,18317
69,1276,55,350,18319
70,1324,65,306,18305
71,1361,60,285,18294
72,1415,51,262,18272
73,1484,41,232,18243
74,1544,41,210,18205
75,1598,35,188,18179
76,1647,44,168,18141
77,1701,38,162,18099
78,1750,41,145,18064
79,1812,38,143,18007
80,1866,36,136,17962
81,1914,35,126,17925
82,1972,30,116,17882
83,2026,32,113,17829
84,2074,36,94,17796
85,2122,38,92,17748
86,2197,33,92,17678
87,2242,36,79,17643
88,2307,26,77,17590
89,2357,24,72,17547
90,2420,16,69,17495
91,2472,15,66,17447
92,2512,14,63,17411
