Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19956,21,19,4
3,19945,27,23,5
4,19925,43,25,7
5,19910,46,35,9
6,19890,56,38,16
7,19855,78,46,21
8,19813,102,60,25
9,19775,110,76,39
10,19722,134,89,55
11,19657,154,123,66
12,19556,219,146,79
13,19471,240,192,97
14,19308,333,244,115
15,19163,379,321,137
16,18931,511,384,174
17,18682,602,494,222
18,18387,735,581,297
19,18039,874,710,377
20,17589,1067,889,455
21,17064,1288,1080,568
22,16445,1532,1323,700
23,15682,1824,1614,880
24,14776,2230,1902,1092
25,13781,2612,2288,1319
26,12741,2922,2724,1613
27,11550,3301,3171,1978
28,10297,3577,3741,2385
29,9063,3772,4298,2867
30,7869,3885,4782,3464
31,6690,3959,5230,4121
32,5550,4016,5624,4810
33,4606,3822,6044,5528
34,3738,3646,6271,6345
35,3052,3359,6413,7176
36,2445,3011,6485,8059
37,2031,2619,6452,8898
38,1590,2308,6357,9745
39,1314,1921,6167,10598
40,1084,1649,5839,11428
41,919,1377,5518,12186
42,786,1137,5253,12824
43,694,945,4851,13510
44,625,775,4537,14063
45,574,652,4112,14662
46,576,546,3731,15147
47,575,452,3418,15555
48,554,399,3065,15982
49,558,332,2746,16364
50,570,273,2503,16654
51,575,240,2229,16956
52,585,213,1977,17225
53,599,177,1773,17451
54,616,162,1569,17653
55,646,138,1411,17805
56,690,125,1261,17924
57,736,110,1115,18039
58,774,106,1015,18105
59,800,103,897,18200
60,852,89,819,18240
61,913,78,731,18278
62,971,74,656,18299
63,1026,62,610,18302
64,1078,65,530,18327
65,1140,62,474,18324
66,1198,62,429,18311
67,1251,59,393,18297
68,1303,56,352,18289
69,1346,53,305,18296
70,1391,53,276,18280
71,1442,52,246,18260
72,1500,35,241,18224
73,1547,36,223,18194
74,1602,37,195,18166
75,1647,33,186,18134
76,1709,30,176,18085
77,1760,30,161,18049
78,1810,26,145,18019
79,1857,23,130,17990
80,1915,25,115,17945
81,1956,29,105,17910
82,2016,24,99,17861
83,2072,26,88,17814
84,2127,26,81,17766
85,2171,30,71,17728
86,2220,26,69,17685
87,2278,25,69,17628
88,2329,25,65,17581
89,2378,24,65,17533
90,2423,22,65,17490
91,2476,20,65,17439
92,2529,21,63,17387
93,2577,25,56,17342
94,2624,20,58,17298
95,2681,16,55,17248
96,2732,13,51,17204
97,2770,17,48,17165
98,2825,15,51,17109
99,2890,15,46,17049
100,2937,17,41,17005
101,2984,14,41,16961
102,3028,14,42,16916
103,3079,14,39,16868
104,3144,14,39,16803
105,3205,12,42,16741
106,3262,11,39,16688
107,3300,18,36,16646
108,3335,17,40,16608
109,3383,20,36,16561
110,3434,15,38,16513
111,3472,20,33,16475
112,3518,21,37,16424
113,3569,21,39,16371
114,3607,24,38,16331
115,3661,17,35,16287
