Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19962,18,20,0
2,19947,30,20,3
3,19937,34,23,6
4,19920,45,24,11
5,19901,52,32,15
6,19879,57,41,23
7,19852,71,50,27
8,19822,79,67,32
9,19768,111,80,41
10,19716,128,100,56
11,19648,158,126,68
12,19564,196,161,79
13,19443,263,200,94
14,19311,315,256,118
15,19138,398,313,151
16,18924,494,384,198
17,18660,602,484,254
18,18348,743,597,312
19,17979,888,748,385
20,17508,1102,907,483
21,16956,1334,1102,608
22,16310,1637,1300,753
23,15667,1831,1578,924
24,14901,2099,1877,1123
25,13908,2491,2252,1349
26,12883,2818,2672,1627
27,11685,3245,3109,1961
28,10519,3540,3595,2346
29,9236,3827,4113,2824
30,8048,3950,4653,3349
31,6804,4068,5177,3951
32,5735,4008,5646,4611
33,4761,3870,5994,5375
34,3895,3638,6269,6198
35,3172,3317,6540,6971
36,2534,3032,6637,7797
37,2039,2725,6565,8671
38,1665,2341,6465,9529
39,1364,1979,6296,10361
40,1107,1669,6043,11181
41,936,1406,5667,11991
42,830,1187,5290,12693
43,729,987,4936,13348
44,655,828,4503,14014
45,590,683,4156,14571
46,550,574,3796,15080
47,514,506,3437,15543
48,510,420,3111,15959
49,498,368,2797,16337
50,516,311,2512,16661
51,549,280,2228,16943
52,562,235,1998,17205
53,595,198,1793,17414
54,622,164,1590,17624
55,644,146,1441,17769
56,671,155,1266,17908
57,709,124,1152,18015
58,744,108,1044,18104
59,786,96,939,18179
60,824,103,822,18251
61,867,102,725,18306
62,917,88,666,18329
63,966,91,600,18343
64,1021,79,540,18360
65,1076,66,501,18357
66,1126,53,448,18373
67,1175,44,417,18364
68,1222,44,371,18363
69,1258,47,334,18361
70,1299,57,288,18356
71,1366,48,259,18327
72,1416,57,232,18295
73,1469,51,210,18270
74,1528,51,188,18233
75,1574,47,166,18213
76,1635,47,156,18162
77,1702,41,148,18109
78,1742,40,135,18083
79,1791,38,123,18048
80,1839,34,119,18008
81,1899,26,110,17965
82,1959,25,96,17920
83,2032,25,85,17858
84,2085,27,77,17811
85,2133,26,79,17762
86,2178,26,67,17729
87,2231,21,65,17683
88,2286,22,58,17634
89,2332,22,52,17594
90,2379,23,47,17551
91,2439,13,54,17494
92,2490,14,52,17444
93,2540,13,49,17398
94,2591,13,44,17352
95,2647,15,43,17295
96,2697,12,42,17249
97,2739,13,38,17210
98,2792,14,36,17158
99,2830,13,36,17121
100,2873,11,35,17081
101,2925,12,38,17025
102,2981,13,33,16973
103,3019,17,32,16932
104,3071,16,35,16878
105,3115,17,35,16833
106,3160,13,35,16792
107,3210,14,37,16739
108,3256,17,37,16690
109,3296,17,35,16652
110,3343,19,30,16608
111,3390,22,29,16559
112,3448,17,32,16503
113,3510,17,30,16443
114,3560,13,35,16392
115,3619,13,32,16336
116,3671,11,33,16285
117,3718,14,29,16239
118,3770,15,31,16184
119,3808,14,30,16148
120,3857,13,33,16097
121,3899,13,32,16056
122,3955,15,26,16004
