Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19966,14,20,0
2,19954,22,22,2
3,19943,28,24,5
4,19929,31,32,8
5,19908,49,30,13
6,19896,46,41,17
7,19865,65,46,24
8,19830,86,52,32
9,19788,100,75,37
10,19729,132,97,42
11,19661,159,128,52
12,19552,234,141,73
13,19446,284,182,88
14,19329,330,229,112
15,19164,406,292,138
16,18966,500,357,177
17,18726,611,435,228
18,18416,749,554,281
19,18048,912,694,346
20,17599,1073,887,441
21,17058,1323,1058,561
22,16410,1600,1309,681
23,15703,1859,1566,872
24,14906,2112,1889,1093
25,13939,2488,2217,1356
26,12878,2806,2655,1661
27,11713,3176,3087,2024
28,10520,3478,3588,2414
29,9192,3840,4073,2895
30,7912,4064,4574,3450
31,6734,4091,5145,4030
32,5614,4066,5640,4680
33,4617,3920,6068,5395
34,3699,3725,6365,6211
35,3036,3334,6603,7027
36,2443,2978,6718,7861
37,1976,2613,6659,8752
38,1578,2318,6434,9670
39,1279,1971,6273,10477
40,1061,1675,5980,11284
41,905,1401,5659,12035
42,781,1164,5294,12761
43,690,974,4880,13456
44,632,814,4476,14078
45,578,667,4128,14627
46,527,553,3805,15115
47,506,454,3458,15582
48,505,367,3110,16018
49,498,318,2773,16411
50,516,260,2516,16708
51,534,235,2248,16983
52,551,204,1994,17251
53,596,171,1780,17453
54,645,137,1594,17624
55,674,128,1385,17813
56,712,121,1208,17959
57,761,108,1090,18041
58,811,92,983,18114
59,856,100,883,18161
60,883,90,782,18245
61,925,97,681,18297
62,982,99,610,18309
63,1021,89,554,18336
64,1078,80,515,18327
65,1110,82,460,18348
66,1169,68,434,18329
67,1212,63,383,18342
68,1278,53,362,18307
69,1313,54,327,18306
70,1369,52,287,18292
71,1423,64,255,18258
72,1479,52,244,18225
73,1531,49,211,18209
74,1578,38,199,18185
75,1638,40,185,18137
76,1693,34,163,18110
77,1743,29,148,18080
78,1791,31,129,18049
79,1868,23,121,17988
80,1923,24,102,17951
81,1971,27,93,17909
82,2042,19,86,17853
83,2095,23,77,17805
84,2147,25,68,17760
85,2210,22,63,17705
86,2266,20,56,17658
87,2332,15,53,17600
88,2388,15,47,17550
89,2432,14,44,17510
90,2484,16,42,17458
91,2538,13,44,17405
92,2591,12,39,17358
