Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19964,16,20,0
2,19957,19,23,1
3,19933,40,24,3
4,19917,52,25,6
5,19900,57,36,7
6,19875,68,45,12
7,19844,84,55,17
8,19813,92,73,22
9,19762,115,97,26
10,19691,150,119,40
11,19610,181,153,56
12,19510,230,192,68
13,19391,283,238,88
14,19208,392,286,114
15,19011,475,347,167
16,18794,565,423,218
17,18515,667,535,283
18,18164,831,641,364
19,17754,1017,789,440
20,17317,1169,979,535
21,16758,1402,1183,657
22,16069,1673,1463,795
23,15267,1997,1758,978
24,14366,2347,2061,1226
25,13362,2670,2470,1498
26,12282,3017,2879,1822
27,11080,3352,3386,2182
28,9878,3605,3896,2621
29,8645,3800,4428,3127
30,7419,3977,4872,3732
31,6331,3924,5402,4343
32,5280,3895,5763,5062
33,4351,3725,6149,5775
34,3550,3484,6399,6567
35,2860,3164,6569,7407
36,2283,2868,6584,8265
37,1834,2512,6546,9108
38,1499,2162,6430,9909
39,1221,1876,6198,10705
40,1013,1533,5901,11553
41,864,1281,5572,12283
42,758,1041,5197,13004
43,694,847,4789,13670
44,636,705,4375,14284
45,600,609,3951,14840
46,559,531,3567,15343
47,547,450,3204,15799
48,534,370,2872,16224
49,538,298,2621,16543
50,555,261,2332,16852
51,569,218,2095,17118
52,581,200,1878,17341
53,623,182,1670,17525
54,661,161,1513,17665
55,681,148,1360,17811
56,721,124,1239,17916
57,746,115,1125,18014
58,785,119,1007,18089
59,822,100,910,18168
60,862,99,797,18242
61,902,101,716,18281
62,957,81,662,18300
63,993,79,600,18328
64,1061,72,535,18332
65,1108,72,484,18336
66,1172,64,432,18332
67,1218,59,397,18326
68,1257,59,364,18320
69,1306,56,323,18315
70,1355,56,295,18294
71,1412,50,275,18263
72,1459,47,242,18252
73,1519,36,217,18228
74,1570,36,203,18191
75,1619,32,189,18160
76,1668,30,159,18143
77,1724,30,146,18100
78,1776,31,137,18056
79,1845,29,125,18001
80,1891,27,111,17971
81,1948,23,103,17926
82,2008,19,93,17880
83,2048,23,79,17850
84,2100,21,74,17805
85,2148,23,68,17761
86,2204,21,67,17708
87,2263,21,64,17652
88,2307,18,59,17616
89,2356,13,58,17573
90,2410,13,52,17525
91,2463,10,45,17482
92,2525,11,38,17426
93,2559,7,37,17397
94,2603,7,29,17361
95,2655,8,26,17311
96,2717,8,24,17251
97,2768,6,22,17204
98,2817,8,18,17157
99,2866,7,18,17109
100,2925,5,19,17051
101,2993,3,18,16986
102,3046,3,15,16936
103,3106,3,14,16877
104,3151,3,12,16834
105,3190,3,12,16795
106,3243,4,10,16743
107,3292,3,11,16694
108,3351,4,11,16634
109,3412,5,6,16577
110,3454,2,8,16536
111,3502,2,7,16489
112,3555,1,8,16436
113,3609,1,5,16385
114,3650,1,6,16343
115,3688,1,5,16306
116,3728,2,5,16265
117,3780,2,5,16213
118,3837,0,6,16157
119,3884,2,4,16110
120,3923,2,4,16071
121,3967,2,4,16027
122,4015,2,3,15980
123,4052,2,4,15942
124,4090,2,4,15904
125,4138,2,4,15856
126,4178,2,4,15816
127,4223,4,3,15770
128,4265,4,3,15728
129,4303,3,4,15690
130,4346,1,5,15648
131,4389,1,5,15605
132,4423,2,5,15570
133,4454,4,6,15536
134,4511,3,6,15480
135,4551,2,6,15441
136,4581,2,7,15410
137,4623,3,7,15367
138,4673,3,7,15317
139,4719,3,7,15271
140,4766,2,7,15225
141,4813,2,8,15177
142,4847,2,7,15144
143,4885,3,6,15106
144,4916,4,8,15072
145,4953,1,8,15038
146,4998,1,5,14996
147,5033,1,4,14962
148,5073,2,5,14920
149,5118,2,4,14876
150,5159,3,4,14834
151,5205,2,5,14788
152,5249,2,4,14745
153,5284,2,4,14710
154,5319,3,4,14674
155,5363,3,3,14631
156,5392,2,4,14602
157,5438,2,4,14556
158,5479,4,5,14512
159,5517,3,6,14474
160,5552,1,6,14441
161,5586,3,6,14405
162,5612,4,4,14380
163,5640,4,5,14351
164,5674,4,4,14318
165,5714,3,5,14278
166,5751,5,4,14240
167,5786,6,4,14204
168,5828,7,2,14163
169,5871,3,6,14120
170,5912,5,6,14077
171,5953,4,7,14036
172,5974,5,8,14013
173,6020,8,8,13964
174,6058,10,9,13923
175,6089,9,12,13890
176,6130,8,13,13849
177,6170,6,14,13810
178,6203,9,16,13772
179,6235,13,15,13737
180,6273,13,16,13698
181,6307,16,15,13662
182,6341,14,16,13629
183,6373,15,18,13594
184,6403,15,20,13562
185,6447,16,22,13515
186,6480,17,24,13479
187,6519,18,27,13436
188,6546,18,30,13406
189,6582,19,29,13370
190,6613,22,29,13336
191,6645,21,29,13305
192,6680,19,33,13268
193,6714,23,32,13231
194,6739,29,33,13199
195,6768,36,35,13161
196,6802,30,41,13127
