Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19965,15,20,0
2,19957,19,24,0
3,19946,27,23,4
4,19931,36,23,10
5,19908,48,33,11
6,19886,48,49,17
7,19842,82,47,29
8,19806,99,59,36
9,19766,107,87,40
10,19708,125,119,48
11,19625,174,142,59
12,19523,233,161,83
13,19402,298,193,107
14,19260,357,252,131
15,19097,430,304,169
16,18898,519,360,223
17,18660,605,469,266
18,18334,752,587,327
19,17999,885,696,420
20,17554,1086,841,519
21,17088,1265,1032,615
22,16491,1510,1251,748
23,15812,1749,1531,908
24,15006,2013,1877,1104
25,14060,2439,2175,1326
26,13051,2774,2574,1601
27,11893,3150,2984,1973
28,10761,3404,3469,2366
29,9536,3654,3957,2853
30,8356,3781,4521,3342
31,7126,3934,4982,3958
32,5969,3993,5415,4623
33,5012,3801,5865,5322
34,4091,3698,6121,6090
35,3310,3480,6320,6890
36,2712,3140,6458,7690
37,2197,2751,6528,8524
38,1759,2420,6424,9397
39,1440,2061,6269,10230
40,1208,1746,6000,11046
41,1007,1459,5740,11794
42,888,1212,5402,12498
43,765,1049,5051,13135
44,671,875,4685,13769
45,613,723,4314,14350
46,571,624,3918,14887
47,549,502,3558,15391
48,561,414,3174,15851
49,559,336,2860,16245
50,587,277,2568,16568
51,588,241,2300,16871
52,597,219,2057,17127
53,603,191,1853,17353
54,625,177,1641,17557
55,631,157,1465,17747
56,677,143,1270,17910
57,717,124,1130,18029
58,762,107,1026,18105
59,806,93,917,18184
60,866,80,814,18240
61,908,89,717,18286
62,975,85,629,18311
63,1031,73,575,18321
64,1098,66,501,18335
65,1137,60,452,18351
66,1193,55,401,18351
67,1246,62,368,18324
68,1292,64,322,18322
69,1345,59,298,18298
70,1401,55,270,18274
71,1455,50,249,18246
72,1510,38,242,18210
73,1551,43,219,18187
74,1621,38,203,18138
75,1682,35,182,18101
76,1733,34,164,18069
77,1772,32,151,18045
78,1828,28,141,18003
79,1895,23,129,17953
80,1949,21,120,17910
81,2005,20,113,17862
82,2050,15,113,17822
83,2099,15,102,17784
84,2148,17,89,17746
85,2186,17,81,17716
86,2246,17,79,17658
87,2286,16,70,17628
88,2335,15,61,17589
89,2387,14,58,17541
90,2438,12,55,17495
91,2504,14,54,17428
92,2566,18,47,17369
93,2615,17,45,17323
94,2666,14,43,17277
95,2718,18,33,17231
96,2768,12,37,17183
97,2808,10,35,17147
98,2860,10,36,17094
99,2922,7,29,17042
100,2967,8,26,16999
101,3017,7,26,16950
102,3058,6,23,16913
103,3120,5,24,16851
104,3172,11,24,16793
105,3234,10,23,16733
106,3277,4,27,16692
107,3318,7,24,16651
108,3372,6,24,16598
109,3414,5,25,16556
110,3459,5,19,16517
111,3499,8,16,16477
112,3552,8,14,16426
113,3601,7,16,16376
114,3647,6,18,16329
115,3704,5,14,16277
116,3747,4,14,16235
117,3790,5,12,16193
118,3839,6,12,16143
119,3891,3,15,16091
120,3946,2,14,16038
121,3994,4,12,15990
122,4031,5,10,15954
123,4076,7,8,15909
124,4125,3,9,15863
125,4164,3,8,15825
126,4204,4,7,15785
127,4249,2,9,15740
128,4289,3,9,15699
129,4322,5,10,15663
130,4378,5,8,15609
131,4432,6,7,15555
132,4473,6,8,15513
133,4527,7,9,15457
134,4574,5,10,15411
135,4640,7,10,15343
136,4675,9,12,15304
137,4718,6,12,15264
138,4761,6,12,15221
139,4805,4,13,15178
140,4843,6,10,15141
141,4879,4,11,15106
142,4922,5,9,15064
143,4968,5,8,15019
144,4996,6,9,14989
145,5037,7,8,14948
146,5072,7,7,14914
147,5107,6,7,14880
148,5138,6,8,14848
149,5181,8,8,14803
150,5228,10,10,14752
151,5261,15,9,14715
152,5300,10,13,14677
153,5343,12,10,14635
154,5381,9,12,14598
155,5423,8,15,14554
156,5446,12,16,14526
157,5475,12,16,14497
158,5513,16,18,14453
159,5566,13,21,14400
160,5603,17,21,14359
161,5650,17,24,14309
162,5683,18,26,14273
163,5718,20,27,14235
164,5755,17,32,14196
165,5789,16,32,14163
166,5816,18,29,14137
167,5846,18,27,14109
168,5889,19,23,14069
169,5919,17,29,14035
170,5943,23,32,14002
171,5978,19,37,13966
172,6005,18,42,13935
173,6034,15,42,13909
174,6067,14,45,13874
175,6090,23,41,13846
176,6112,24,44,13820
177,6138,32,43,13787
178,6185,30,46,13739
179,6219,30,42,13709
180,6232,34,46,13688
181,6272,37,48,13643
182,6298,34,57,13611
183,6314,35,56,13595
184,6332,36,61,13571
185,6364,34,60,13542
186,6378,43,58,13521
187,6402,48,52,13498
188,6428,43,66,13463
189,6460,42,69,13429
190,6484,46,71,13399
191,6513,50,67,13370
192,6523,59,76,13342
193,6555,62,84,13299
194,6573,67,90,13270
195,6602,65,99,13234
196,6612,71,108,13209
197,6635,78,113,13174
198,6659,72,130,13139
199,6671,90,123,13116
200,6683,90,142,13085
201,6685,107,131,13077
202,6689,115,139,13057
203,6685,121,148,13046
204,6696,112,165,13027
205,6677,131,177,13015
206,6673,129,199,12999
207,6657,142,212,12989
208,6658,142,230,12970
209,6652,154,238,12956
210,6642,145,254,12959
211,6596,172,262,12970
212,6581,176,278,12965
213,6545,196,282,12977
214,6519,200,300,12981
215,6492,219,304,12985
216,6461,222,329,12988
217,6429,225,346,13000
218,6409,245,348,12998
219,6383,240,374,13003
220,6349,252,402,12997
221,6302,275,418,13005
222,6244,296,440,13020
223,6190,316,459,13035
224,6126,325,481,13068
225,6066,361,488,13085
226,6011,353,540,13096
227,5930,368,557,13145
228,5857,383,601,13159
229,5783,393,639,13185
230,5708,400,669,13223
231,5617,430,712,13241
232,5528,432,751,13289
233,5429,440,775,13356
234,5314,469,822,13395
235,5240,496,823,13441
236,5168,477,838,13517
237,5063,467,855,13615
238,4947,512,859,13682
239,4863,506,892,13739
240,4796,473,929,13802
241,4705,495,916,13884
242,4605,507,919,13969
243,4509,525,948,14018
244,4410,519,981,14090
245,4317,515,997,14171
246,4226,498,1014,14262
247,4125,493,1038,14344
248,4032,520,1017,14431
249,3944,535,1045,14476
250,3847,526,1061,14566
251,3763,519,1055,14663
252,3691,510,1047,14752
253,3616,500,1055,14829
254,3546,496,1044,14914
255,3499,482,1036,14983
256,3455,471,1045,15029
257,3400,453,1046,15101
258,3344,457,1001,15198
259,3284,464,989,15263
260,3218,435,998,15349
261,3182,418,975,15425
262,3144,430,946,15480
263,3084,413,958,15545
264,3062,393,946,15599
265,3050,383,921,15646
266,3027,348,903,15722
267,3015,334,886,15765
268,3004,337,854,15805
269,2974,330,856,15840
270,2948,323,835,15894
271,2922,321,806,15951
272,2900,329,779,15992
273,2931,287,760,16022
274,2920,282,740,16058
275,2931,278,706,16085
276,2941,256,685,16118
277,2935,263,659,16143
278,2953,242,649,16156
279,2979,217,639,16165
280,3007,227,608,16158
281,3035,208,593,16164
282,3044,213,567,16176
283,3066,200,554,16180
284,3079,207,531,16183
285,3115,212,512,16161
286,3140,213,505,16142
287,3165,212,491,16132
288,3189,204,471,16136
289,3224,207,457,16112
290,3263,181,464,16092
291,3288,181,460,16071
292,3340,173,462,16025
293,3365,173,455,16007
294,3380,163,466,15991
295,3397,169,448,15986
296,3424,177,444,15955
297,3465,163,434,15938
298,3487,179,437,15897
299,3518,174,432,15876
300,3555,186,414,15845
301,3597,190,398,15815
302,3627,194,391,15788
303,3660,189,386,15765
304,3673,203,374,15750
305,3708,209,372,15711
306,3745,196,379,15680
307,3762,196,390,15652
308,3807,176,386,15631
309,3847,164,395,15594
310,3899,156,385,15560
311,3927,158,383,15532
312,3971,149,374,15506
313,3998,153,377,15472
314,4023,170,361,15446
315,4050,174,365,15411
316,4071,199,357,15373
317,4118,199,355,15328
318,4137,190,367,15306
319,4179,190,366,15265
320,4187,192,370,15251
321,4219,174,367,15240
322,4248,167,370,15215
323,4275,170,369,15186
324,4301,180,367,15152
325,4319,197,360,15124
326,4336,211,364,15089
327,4366,193,379,15062
328,4399,198,372,15031
329,4385,218,381,15016
330,4402,208,392,14998
331,4440,201,398,14961
332,4462,216,400,14922
333,4488,208,400,14904
334,4519,209,395,14877
335,4557,207,387,14849
336,4586,211,393,14810
337,4617,199,410,14774
338,4645,209,403,14743
339,4667,220,416,14697
340,4693,219,412,14676
341,4701,222,434,14643
342,4727,236,425,14612
343,4747,233,437,14583
