Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19948,29,18,5
3,19931,38,25,6
4,19908,50,32,10
5,19885,60,43,12
6,19854,77,49,20
7,19821,88,66,25
8,19774,115,79,32
9,19719,139,104,38
10,19661,160,125,54
11,19574,198,160,68
12,19443,280,190,87
13,19300,348,238,114
14,19142,402,313,143
15,18913,494,407,186
16,18657,619,483,241
17,18336,774,580,310
18,17964,939,712,385
19,17525,1098,895,482
20,17001,1320,1078,601
21,16379,1586,1268,767
22,15687,1838,1540,935
23,14911,2092,1854,1143
24,14010,2410,2187,1393
25,13022,2726,2542,1710
26,11873,3130,2958,2039
27,10732,3341,3522,2405
28,9540,3566,4015,2879
29,8328,3776,4483,3413
30,7144,3892,4952,4012
31,6042,3907,5399,4652
32,5050,3853,5720,5377
33,4174,3602,6130,6094
34,3413,3377,6318,6892
35,2748,3149,6359,7744
36,2188,2839,6404,8569
37,1771,2477,6409,9343
38,1451,2154,6224,10171
39,1218,1843,5964,10975
40,1029,1537,5688,11746
41,901,1275,5381,12443
42,791,1083,5069,13057
43,707,890,4775,13628
44,632,740,4396,14232
45,591,610,4035,14764
46,562,513,3637,15288
47,569,399,3373,15659
48,574,343,3032,16051
49,567,303,2711,16419
50,570,261,2407,16762
51,599,231,2166,17004
52,603,217,1933,17247
53,619,186,1728,17467
54,630,170,1529,17671
55,652,148,1368,17832
56,692,125,1250,17933
57,726,123,1114,18037
58,769,109,1008,18114
59,811,103,900,18186
60,851,90,812,18247
61,887,81,720,18312
62,947,83,638,18332
63,982,78,573,18367
64,1018,70,514,18398
65,1062,76,461,18401
66,1116,71,410,18403
67,1159,65,377,18399
68,1215,62,345,18378
69,1260,61,314,18365
70,1322,55,290,18333
71,1384,45,283,18288
72,1431,46,257,18266
73,1487,43,241,18229
74,1548,40,219,18193
75,1611,34,193,18162
76,1672,32,191,18105
77,1727,34,169,18070
78,1777,39,145,18039
79,1836,40,127,17997
80,1884,42,110,17964
81,1946,41,99,17914
82,2010,38,104,17848
83,2063,30,105,17802
84,2128,33,93,17746
85,2193,33,90,17684
86,2260,24,85,17631
87,2315,23,82,17580
88,2365,23,79,17533
89,2413,24,80,17483
90,2475,23,73,17429
91,2528,20,67,17385
92,2567,21,65,17347
93,2612,21,59,17308
94,2666,18,61,17255
95,2729,13,62,17196
96,2795,11,56,17138
97,2841,20,52,17087
98,2890,17,52,17041
99,2939,20,49,16992
100,3012,17,49,16922
101,3067,22,41,16870
102,3120,23,41,16816
103,3178,22,43,16757
104,3228,24,36,16712
105,3272,20,40,16668
106,3318,19,43,16620
107,3347,27,43,16583
108,3376,24,44,16556
109,3412,16,49,16523
110,3469,18,48,16465
111,3505,18,47,16430
112,3550,17,46,16387
113,3603,18,47,16332
114,3638,18,47,16297
115,3673,22,44,16261
