Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19962,18,20,0
2,19947,28,24,1
3,19937,31,28,4
4,19918,31,43,8
5,19879,62,45,14
6,19838,78,67,17
7,19794,105,75,26
8,19746,124,93,37
9,19688,148,112,52
10,19624,178,131,67
11,19525,231,158,86
12,19405,287,202,106
13,19275,338,257,130
14,19111,403,324,162
15,18902,503,393,202
16,18652,612,484,252
17,18352,748,586,314
18,17986,922,709,383
19,17543,1107,875,475
20,17030,1290,1077,603
21,16407,1541,1312,740
22,15733,1787,1556,924
23,14900,2115,1842,1143
24,13966,2465,2192,1377
25,12928,2850,2565,1657
26,11882,3091,3045,1982
27,10663,3448,3491,2398
28,9489,3658,4008,2845
29,8253,3846,4542,3359
30,7070,3900,5075,3955
31,5928,3932,5518,4622
32,4883,3884,5927,5306
33,4010,3677,6182,6131
34,3229,3438,6362,6971
35,2588,3108,6485,7819
36,2070,2820,6417,8693
37,1662,2436,6382,9520
38,1381,2064,6170,10385
39,1149,1749,5903,11199
40,989,1462,5616,11933
41,838,1249,5239,12674
42,746,1018,4886,13350
43,668,876,4493,13963
44,614,732,4207,14447
45,576,614,3803,15007
46,549,505,3442,15504
47,541,411,3121,15927
48,542,354,2829,16275
49,546,307,2540,16607
50,564,255,2238,16943
51,592,205,2030,17173
52,621,171,1828,17380
53,636,170,1622,17572
54,649,155,1433,17763
55,688,128,1310,17874
56,722,113,1185,17980
57,769,107,1049,18075
58,806,104,922,18168
59,850,107,818,18225
60,904,89,739,18268
61,950,88,675,18287
62,998,81,598,18323
63,1061,73,535,18331
64,1113,72,467,18348
65,1148,67,421,18364
66,1183,65,373,18379
67,1240,59,337,18364
68,1299,46,313,18342
69,1337,53,288,18322
70,1387,46,268,18299
71,1450,37,251,18262
72,1497,37,225,18241
73,1546,38,201,18215
74,1599,36,178,18187
75,1654,33,169,18144
76,1700,40,153,18107
77,1756,39,143,18062
78,1816,34,132,18018
79,1868,29,126,17977
80,1924,26,118,17932
81,1994,27,105,17874
82,2056,25,99,17820
83,2115,19,93,17773
84,2174,20,84,17722
85,2219,19,76,17686
86,2274,17,70,17639
87,2323,20,62,17595
88,2377,16,58,17549
89,2431,16,54,17499
90,2482,18,51,17449
91,2543,17,44,17396
92,2584,18,45,17353
93,2631,17,41,17311
94,2678,19,40,17263
95,2732,15,46,17207
96,2790,17,48,17145
97,2852,17,43,17088
98,2900,18,42,17040
99,2938,19,40,17003
100,2983,19,41,16957
101,3027,13,41,16919
102,3080,10,38,16872
103,3124,9,37,16830
104,3165,9,34,16792
105,3225,7,34,16734
106,3273,13,26,16688
107,3318,11,25,16646
108,3366,14,20,16600
109,3404,12,22,16562
110,3455,11,23,16511
111,3515,4,27,16454
112,3563,4,24,16409
113,3611,5,22,16362
114,3660,8,21,16311
115,3697,5,21,16277
116,3744,7,20,16229
117,3788,11,16,16185
118,3835,9,16,16140
119,3879,8,16,16097
120,3917,5,16,16062
121,3971,4,15,16010
122,4014,4,13,15969
