Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19966,14,20,0
2,19956,20,22,2
3,19945,28,21,6
4,19933,32,29,6
5,19914,41,36,9
6,19883,63,42,12
7,19858,72,55,15
8,19810,103,66,21
9,19761,123,88,28
10,19699,148,113,40
11,19631,179,131,59
12,19547,212,167,74
13,19449,248,209,94
14,19296,320,261,123
15,19098,441,293,168
16,18898,529,370,203
17,18658,630,462,250
18,18392,718,565,325
19,18022,901,678,399
20,17631,1057,842,470
21,17116,1284,1004,596
22,16527,1488,1253,732
23,15831,1769,1501,899
24,15046,2072,1794,1088
25,14132,2388,2179,1301
26,13101,2757,2562,1580
27,11968,3121,2988,1923
28,10815,3362,3517,2306
29,9554,3660,4015,2771
30,8322,3823,4566,3289
31,7043,4043,5041,3873
32,5888,4057,5586,4469
33,4855,3932,5975,5238
34,3973,3682,6315,6030
35,3249,3369,6531,6851
36,2579,3089,6640,7692
37,2050,2769,6610,8571
38,1625,2407,6562,9406
39,1313,2049,6429,10209
40,1078,1706,6166,11050
41,867,1437,5865,11831
42,745,1163,5476,12616
43,677,956,5074,13293
44,607,800,4649,13944
45,553,665,4242,14540
46,534,543,3851,15072
47,518,436,3506,15540
48,515,347,3174,15964
49,506,300,2820,16374
50,533,281,2522,16664
51,539,253,2265,16943
52,551,219,2025,17205
53,573,193,1801,17433
54,587,186,1588,17639
55,613,174,1424,17789
56,652,142,1273,17933
57,696,125,1141,18038
58,749,96,1046,18109
59,768,98,930,18204
60,806,97,835,18262
61,853,99,741,18307
62,896,95,663,18346
63,935,88,594,18383
64,972,78,534,18416
65,1035,65,478,18422
66,1088,66,419,18427
67,1134,56,389,18421
68,1182,54,349,18415
69,1245,49,321,18385
70,1302,58,286,18354
71,1356,64,251,18329
72,1411,62,234,18293
73,1448,67,209,18276
74,1492,59,186,18263
75,1564,48,169,18219
76,1616,42,157,18185
77,1667,41,146,18146
78,1720,42,132,18106
79,1754,43,124,18079
80,1811,38,112,18039
81,1888,35,109,17968
82,1951,34,105,17910
83,2000,31,101,17868
84,2044,29,101,17826
85,2087,24,95,17794
86,2156,22,93,17729
87,2219,25,85,17671
88,2272,25,79,17624
89,2317,21,79,17583
90,2363,24,70,17543
91,2413,30,68,17489
92,2461,22,69,17448
