Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19971,9,20,0
2,19960,18,20,2
3,19945,25,27,3
4,19917,46,28,9
5,19903,43,43,11
6,19870,64,51,15
7,19841,63,76,20
8,19796,87,87,30
9,19740,108,103,49
10,19670,151,115,64
11,19587,204,132,77
12,19502,224,178,96
13,19384,283,218,115
14,19226,358,274,142
15,19054,416,353,177
16,18820,524,439,217
17,18516,686,521,277
18,18183,825,648,344
19,17778,1012,782,428
20,17345,1168,956,531
21,16813,1357,1164,666
22,16111,1693,1360,836
23,15388,1951,1630,1031
24,14521,2239,1995,1245
25,13582,2543,2359,1516
26,12542,2892,2747,1819
27,11410,3217,3183,2190
28,10201,3528,3664,2607
29,8980,3773,4139,3108
30,7799,3936,4630,3635
31,6660,3976,5144,4220
32,5557,3910,5663,4870
33,4547,3758,6047,5648
34,3688,3573,6292,6447
35,3003,3244,6449,7304
36,2398,2970,6479,8153
37,1974,2586,6503,8937
38,1602,2233,6386,9779
39,1323,1908,6186,10583
40,1074,1614,5953,11359
41,920,1346,5591,12143
42,801,1132,5201,12866
43,735,912,4818,13535
44,663,774,4423,14140
45,614,649,4030,14707
46,572,541,3694,15193
47,563,461,3369,15607
48,554,394,3039,16013
49,544,320,2766,16370
50,553,277,2468,16702
51,544,252,2182,17022
52,552,223,1948,17277
53,576,193,1762,17469
54,608,169,1571,17652
55,651,149,1356,17844
56,685,134,1221,17960
57,712,124,1088,18076
58,773,109,982,18136
59,813,99,891,18197
60,859,88,793,18260
61,889,84,709,18318
62,934,71,641,18354
63,987,64,566,18383
64,1033,63,491,18413
65,1095,54,440,18411
66,1149,55,383,18413
67,1213,48,352,18387
68,1278,48,314,18360
69,1344,45,276,18335
70,1396,42,255,18307
71,1457,42,225,18276
72,1516,40,202,18242
73,1578,38,181,18203
74,1629,36,166,18169
75,1680,32,156,18132
76,1740,35,140,18085
77,1796,32,127,18045
78,1866,30,120,17984
79,1927,27,116,17930
80,1984,33,100,17883
81,2025,29,93,17853
82,2090,25,88,17797
83,2145,21,81,17753
84,2190,23,73,17714
