Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19968,12,20,0
2,19954,22,22,2
3,19943,27,27,3
4,19917,45,28,10
5,19898,53,38,11
6,19874,62,46,18
7,19838,78,59,25
8,19800,94,74,32
9,19732,127,102,39
10,19668,156,127,49
11,19581,195,163,61
12,19462,256,198,84
13,19309,346,235,110
14,19151,410,307,132
15,18929,523,372,176
16,18701,597,477,225
17,18367,761,571,301
18,18007,910,706,377
19,17595,1085,864,456
20,17099,1253,1080,568
21,16472,1512,1312,704
22,15771,1785,1592,852
23,14889,2168,1869,1074
24,13969,2480,2212,1339
25,12921,2803,2668,1608
26,11827,3090,3138,1945
27,10600,3454,3634,2312
28,9405,3672,4157,2766
29,8141,3905,4639,3315
30,6942,4036,5079,3943
31,5835,4013,5574,4578
32,4812,3871,6032,5285
33,3935,3672,6278,6115
34,3204,3419,6452,6925
35,2576,3100,6552,7772
36,2111,2725,6513,8651
37,1675,2408,6467,9450
38,1384,2030,6342,10244
39,1152,1736,6044,11068
40,951,1488,5732,11829
41,818,1238,5397,12547
42,709,1021,5016,13254
43,622,837,4611,13930
44,588,685,4228,14499
45,557,585,3878,14980
46,552,478,3514,15456
47,556,386,3167,15891
48,542,348,2823,16287
49,539,288,2574,16599
50,543,242,2319,16896
51,554,207,2071,17168
52,587,163,1864,17386
53,606,155,1642,17597
54,637,129,1455,17779
55,674,126,1280,17920
56,696,126,1136,18042
57,735,116,1001,18148
58,779,103,902,18216
59,806,96,800,18298
60,847,84,726,18343
61,888,79,661,18372
62,931,81,585,18403
63,977,81,519,18423
64,1025,69,471,18435
65,1092,63,421,18424
66,1145,62,375,18418
67,1193,60,332,18415
68,1244,62,287,18407
69,1282,59,277,18382
70,1341,58,242,18359
71,1394,47,219,18340
72,1449,46,188,18317
73,1498,45,168,18289
74,1552,37,163,18248
75,1602,28,154,18216
76,1650,22,148,18180
77,1713,23,121,18143
78,1776,27,105,18092
79,1827,22,105,18046
80,1878,23,100,17999
81,1939,22,97,17942
82,1987,24,89,17900
83,2044,30,76,17850
84,2096,26,74,17804
85,2145,21,78,17756
86,2199,16,76,17709
87,2251,15,64,17670
88,2316,13,63,17608
89,2366,15,56,17563
90,2410,18,54,17518
91,2474,16,53,17457
92,2521,15,50,17414
93,2574,12,48,17366
94,2633,13,46,17308
95,2705,12,41,17242
96,2759,13,37,17191
97,2807,12,33,17148
98,2857,15,29,17099
99,2909,18,30,17043
100,2961,21,25,16993
101,3018,16,25,16941
102,3073,13,24,16890
103,3119,10,23,16848
104,3154,14,24,16808
105,3183,10,27,16780
106,3227,10,26,16737
107,3273,9,24,16694
108,3316,10,26,16648
109,3356,13,26,16605
110,3400,14,29,16557
111,3445,14,26,16515
112,3498,14,30,16458
113,3558,12,27,16403
114,3622,11,25,16342
115,3670,8,26,16296
116,3726,4,30,16240
