Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19956,21,22,1
3,19938,33,26,3
4,19919,40,34,7
5,19897,52,39,12
6,19869,62,53,16
7,19831,84,59,26
8,19785,104,77,34
9,19733,131,88,48
10,19680,150,106,64
11,19593,194,138,75
12,19496,238,173,93
13,19375,290,218,117
14,19232,346,277,145
15,19067,433,314,186
16,18847,532,389,232
17,18605,608,505,282
18,18313,735,602,350
19,17977,864,724,435
20,17529,1069,876,526
21,16970,1328,1071,631
22,16384,1540,1314,762
23,15656,1840,1585,919
24,14795,2178,1895,1132
25,13830,2522,2263,1385
26,12792,2868,2658,1682
27,11658,3199,3123,2020
28,10504,3446,3638,2412
29,9217,3743,4113,2927
30,7965,3934,4657,3444
31,6791,3993,5144,4072
32,5680,3966,5657,4697
33,4697,3893,5899,5511
34,3817,3650,6258,6275
35,3050,3369,6470,7111
36,2439,3024,6576,7961
37,1980,2625,6556,8839
38,1606,2298,6449,9647
39,1338,1897,6272,10493
40,1095,1666,5935,11304
41,908,1424,5585,12083
42,791,1150,5259,12800
43,694,965,4846,13495
44,609,799,4445,14147
45,590,639,4047,14724
46,550,526,3688,15236
47,541,446,3361,15652
48,537,374,3069,16020
49,534,309,2778,16379
50,547,248,2547,16658
51,567,222,2261,16950
52,600,190,2017,17193
53,596,196,1768,17440
54,618,174,1593,17615
55,655,154,1406,17785
56,689,135,1272,17904
57,724,121,1123,18032
58,770,104,1019,18107
59,811,101,896,18192
60,858,86,815,18241
61,914,77,738,18271
62,952,78,655,18315
63,1002,85,590,18323
64,1042,87,525,18346
65,1106,80,463,18351
66,1153,71,407,18369
67,1200,65,371,18364
68,1242,60,338,18360
69,1307,46,313,18334
70,1356,46,277,18321
71,1418,43,242,18297
72,1463,34,228,18275
73,1518,32,205,18245
74,1556,35,178,18231
75,1592,32,164,18212
76,1653,29,150,18168
77,1702,30,138,18130
78,1759,23,133,18085
79,1809,19,123,18049
80,1868,20,108,18004
81,1919,33,95,17953
82,1976,29,95,17900
83,2039,27,97,17837
84,2071,24,88,17817
85,2108,28,76,17788
86,2156,21,80,17743
87,2204,21,80,17695
88,2258,25,79,17638
89,2311,23,76,17590
90,2346,19,75,17560
91,2394,21,69,17516
92,2459,20,70,17451
93,2504,16,67,17413
94,2545,18,63,17374
95,2586,18,60,17336
96,2638,17,49,17296
97,2687,21,44,17248
98,2745,18,45,17192
99,2789,17,41,17153
100,2843,13,43,17101
101,2898,10,46,17046
102,2942,13,44,17001
103,2988,18,42,16952
104,3038,21,42,16899
105,3080,22,45,16853
106,3132,24,44,16800
107,3187,22,50,16741
108,3230,20,51,16699
109,3261,20,49,16670
110,3309,14,52,16625
111,3353,19,47,16581
112,3405,18,49,16528
113,3450,18,47,16485
114,3500,21,39,16440
115,3547,19,38,16396
