Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19974,6,20,0
2,19960,18,20,2
3,19951,24,20,5
4,19939,30,26,5
5,19924,36,32,8
6,19902,49,35,14
7,19870,72,41,17
8,19838,86,55,21
9,19795,101,77,27
10,19742,124,96,38
11,19685,145,119,51
12,19602,190,144,64
13,19506,240,170,84
14,19389,293,213,105
15,19250,348,277,125
16,19052,455,330,163
17,18855,521,419,205
18,18556,673,515,256
19,18235,800,639,326
20,17842,983,769,406
21,17373,1177,948,502
22,16789,1431,1156,624
23,16119,1706,1395,780
24,15355,2002,1685,958
25,14469,2324,2039,1168
26,13509,2617,2463,1411
27,12406,3024,2822,1748
28,11255,3312,3325,2108
29,10034,3604,3813,2549
30,8865,3738,4356,3041
31,7608,3919,4881,3592
32,6430,3976,5343,4251
33,5352,3935,5805,4908
34,4440,3801,6106,5653
35,3571,3592,6339,6498
36,2887,3251,6538,7324
37,2277,2911,6610,8202
38,1849,2545,6523,9083
39,1503,2172,6387,9938
40,1238,1861,6131,10770
41,1049,1559,5826,11566
42,877,1296,5521,12306
43,746,1088,5201,12965
44,668,864,4833,13635
45,625,710,4404,14261
46,581,592,3973,14854
47,531,485,3626,15358
48,528,411,3246,15815
49,530,341,2906,16223
50,528,280,2607,16585
51,546,241,2334,16879
52,557,215,2073,17155
53,592,184,1842,17382
54,619,163,1637,17581
55,638,142,1481,17739
56,661,135,1323,17881
57,692,113,1189,18006
58,760,86,1070,18084
59,798,89,930,18183
60,848,82,819,18251
61,900,73,729,18298
62,932,84,649,18335
63,984,68,595,18353
64,1029,60,529,18382
65,1079,61,475,18385
66,1128,60,418,18394
67,1183,55,396,18366
68,1255,55,341,18349
69,1307,49,309,18335
70,1344,55,286,18315
71,1397,48,259,18296
72,1454,54,222,18270
73,1504,52,203,18241
74,1547,57,179,18217
75,1619,43,173,18165
76,1664,52,154,18130
77,1710,52,141,18097
78,1761,43,139,18057
79,1817,33,125,18025
80,1879,29,116,17976
81,1943,26,109,17922
82,2007,24,107,17862
83,2047,29,96,17828
84,2104,24,92,17780
85,2160,27,84,17729
86,2219,26,75,17680
87,2277,22,67,17634
88,2347,20,59,17574
89,2407,17,56,17520
90,2465,16,46,17473
91,2519,14,46,17421
92,2576,9,46,17369
93,2630,14,36,17320
94,2682,12,33,17273
95,2731,10,35,17224
96,2776,10,34,17180
97,2825,12,29,17134
98,2879,14,26,17081
99,2933,11,26,17030
100,2992,11,22,16975
101,3052,7,22,16919
102,3103,7,21,16869
103,3155,10,22,16813
104,3215,8,20,16757
105,3259,8,21,16712
106,3301,10,23,16666
107,3362,8,22,16608
108,3416,8,20,16556
109,3467,10,20,16503
110,3499,9,22,16470
111,3551,7,22,16420
112,3592,11,18,16379
113,3640,14,19,16327
114,3672,15,17,16296
115,3724,11,22,16243
116,3757,11,20,16212
117,3793,13,21,16173
118,3847,14,20,16119
119,3900,14,17,16069
120,3962,11,20,16007
121,4007,12,22,15959
122,4059,9,21,15911
123,4099,7,19,15875
124,4153,6,21,15820
125,4194,7,21,15778
126,4242,8,20,15730
127,4281,9,19,15691
128,4311,10,16,15663
129,4351,7,19,15623
130,4399,7,16,15578
131,4449,5,19,15527
132,4484,3,19,15494
133,4522,5,17,15456
134,4566,5,18,15411
135,4606,10,17,15367
136,4646,10,19,15325
137,4686,9,18,15287
138,4730,9,17,15244
139,4771,9,17,15203
140,4815,6,21,15158
141,4848,9,21,15122
142,4885,12,24,15079
143,4920,11,24,15045
144,4956,15,22,15007
145,5003,11,24,14962
146,5033,16,23,14928
147,5080,17,21,14882
148,5118,18,22,14842
149,5151,16,26,14807
150,5190,17,25,14768
151,5222,13,28,14737
152,5260,18,30,14692
153,5299,14,33,14654
154,5344,14,32,14610
155,5377,20,28,14575
156,5412,21,26,14541
157,5440,22,28,14510
158,5472,19,33,14476
159,5503,17,32,14448
160,5547,18,37,14398
161,5572,24,38,14366
162,5608,22,38,14332
163,5643,20,36,14301
164,5698,24,32,14246
165,5737,23,36,14204
166,5767,23,41,14169
167,5804,30,37,14129
168,5838,24,41,14097
169,5858,29,43,14070
170,5869,40,43,14048
171,5892,39,46,14023
172,5918,44,49,13989
173,5951,39,54,13956
174,5977,38,57,13928
175,6012,37,60,13891
176,6032,43,61,13864
177,6062,36,68,13834
178,6094,39,71,13796
179,6125,39,78,13758
180,6150,46,77,13727
181,6158,52,87,13703
182,6177,58,92,13673
183,6195,69,90,13646
184,6235,61,100,13604
185,6257,62,105,13576
186,6280,56,116,13548
187,6290,73,117,13520
188,6300,80,121,13499
189,6318,81,134,13467
190,6321,89,146,13444
191,6330,102,148,13420
192,6332,108,157,13403
193,6328,118,164,13390
194,6332,121,177,13370
195,6330,121,180,13369
196,6326,136,177,13361
197,6318,149,185,13348
198,6319,139,205,13337
199,6309,156,209,13326
200,6306,141,240,13313
201,6304,150,239,13307
202,6301,163,242,13294
203,6303,159,252,13286
204,6291,159,268,13282
205,6276,167,285,13272
206,6258,185,302,13255
207,6224,217,303,13256
208,6207,217,331,13245
209,6179,227,347,13247
210,6154,213,381,13252
211,6114,235,386,13265
212,6090,231,414,13265
213,6041,252,418,13289
214,6002,267,426,13305
215,5942,297,427,13334
216,5890,314,449,13347
217,5853,305,475,13367
218,5802,301,513,13384
219,5738,323,522,13417
220,5692,330,540,13438
221,5661,325,547,13467
222,5595,337,572,13496
223,5527,368,586,13519
224,5467,382,597,13554
225,5394,396,626,13584
226,5324,399,640,13637
227,5261,380,661,13698
228,5184,411,670,13735
229,5127,411,688,13774
230,5082,403,703,13812
231,5017,400,723,13860
232,4937,420,738,13905
233,4839,436,773,13952
234,4772,440,791,13997
235,4704,459,785,14052
236,4610,473,792,14125
237,4559,452,810,14179
238,4498,448,831,14223
239,4415,451,838,14296
240,4346,444,868,14342
241,4299,427,871,14403
242,4243,394,894,14469
243,4153,408,880,14559
244,4075,439,863,14623
245,4024,452,872,14652
246,3964,437,893,14706
247,3895,439,895,14771
248,3857,434,889,14820
249,3789,428,883,14900
250,3746,421,874,14959
251,3680,406,903,15011
