Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19964,16,20,0
2,19943,32,24,1
3,19929,36,31,4
4,19909,44,42,5
5,19879,66,48,7
6,19851,82,46,21
7,19817,98,56,29
8,19772,117,79,32
9,19725,132,102,41
10,19655,172,121,52
11,19564,217,154,65
12,19446,273,195,86
13,19320,329,239,112
14,19133,417,296,154
15,18946,472,389,193
16,18702,579,480,239
17,18368,752,561,319
18,18004,880,720,396
19,17566,1055,876,503
20,17015,1293,1086,606
21,16365,1534,1363,738
22,15658,1807,1619,916
23,14770,2205,1898,1127
24,13845,2488,2312,1355
25,12761,2867,2709,1663
26,11633,3206,3119,2042
27,10503,3409,3624,2464
28,9233,3675,4125,2967
29,8025,3861,4614,3500
30,6879,3872,5119,4130
31,5772,3890,5489,4849
32,4728,3851,5859,5562
33,3822,3736,6142,6300
34,3140,3384,6345,7131
35,2534,3076,6453,7937
36,2008,2732,6482,8778
37,1606,2398,6343,9653
38,1321,2029,6185,10465
39,1105,1683,5926,11286
40,902,1420,5623,12055
41,781,1140,5330,12749
42,690,957,4937,13416
43,628,767,4567,14038
44,591,621,4167,14621
45,575,509,3794,15122
46,554,421,3461,15564
47,535,360,3121,15984
48,545,284,2834,16337
49,545,260,2565,16630
50,549,232,2289,16930
51,555,211,2036,17198
52,561,187,1801,17451
53,606,159,1609,17626
54,637,146,1424,17793
55,654,140,1278,17928
56,701,106,1145,18048
57,749,100,1001,18150
58,794,90,869,18247
59,829,96,764,18311
60,871,84,678,18367
61,901,87,611,18401
62,957,77,542,18424
63,1015,65,495,18425
64,1054,66,453,18427
65,1103,66,398,18433
66,1160,52,369,18419
67,1198,55,324,18423
68,1235,63,291,18411
69,1289,55,267,18389
70,1365,52,238,18345
71,1427,45,210,18318
72,1479,44,191,18286
73,1534,39,185,18242
74,1597,33,176,18194
75,1653,35,156,18156
76,1707,29,148,18116
77,1768,30,135,18067
78,1820,32,119,18029
79,1883,28,109,17980
80,1948,20,96,17936
81,2006,26,83,17885
82,2051,22,72,17855
83,2112,19,69,17800
84,2165,18,64,17753
85,2220,12,68,17700
86,2272,16,57,17655
87,2341,18,46,17595
88,2377,18,38,17567
89,2421,17,36,17526
90,2502,15,32,17451
91,2566,11,33,17390
92,2612,13,35,17340
93,2684,9,36,17271
94,2722,7,36,17235
95,2764,10,36,17190
96,2809,10,34,17147
97,2859,18,34,17089
98,2910,15,32,17043
99,2967,12,34,16987
100,3027,10,32,16931
101,3071,9,25,16895
102,3117,8,25,16850
103,3165,8,23,16804
104,3217,8,21,16754
105,3268,6,23,16703
106,3324,6,18,16652
107,3378,6,12,16604
108,3429,6,9,16556
109,3474,7,9,16510
110,3515,8,8,16469
111,3548,9,9,16434
112,3593,6,11,16390
113,3634,7,12,16347
114,3688,4,12,16296
115,3737,3,11,16249
116,3781,4,11,16204
117,3826,5,11,16158
118,3882,5,11,16102
119,3930,8,10,16052
120,3971,7,10,16012
121,4007,7,9,15977
122,4055,4,10,15931
123,4081,5,10,15904
124,4112,5,11,15872
125,4155,5,12,15828
126,4198,6,10,15786
127,4245,5,11,15739
128,4287,8,10,15695
129,4327,9,12,15652
130,4373,7,14,15606
131,4409,7,13,15571
132,4454,5,14,15527
133,4507,4,13,15476
134,4563,5,12,15420
135,4616,10,12,15362
136,4654,10,14,15322
137,4702,10,15,15273
138,4741,9,13,15237
139,4774,6,14,15206
140,4800,8,15,15177
141,4835,8,14,15143
142,4882,8,13,15097
143,4937,8,14,15041
144,4983,5,14,14998
145,5025,6,14,14955
146,5064,2,17,14917
147,5115,5,15,14865
148,5163,7,16,14814
149,5202,9,14,14775
150,5240,9,16,14735
151,5272,9,18,14701
152,5319,9,17,14655
153,5357,6,18,14619
154,5394,9,15,14582
155,5425,14,12,14549
156,5461,10,14,14515
157,5503,11,13,14473
158,5540,14,13,14433
159,5574,15,15,14396
160,5606,15,14,14365
161,5652,12,16,14320
162,5689,9,19,14283
163,5716,11,19,14254
164,5753,13,22,14212
165,5783,15,24,14178
166,5819,17,23,14141
167,5849,19,26,14106
168,5880,15,31,14074
169,5916,16,30,14038
170,5959,17,34,13990
171,5992,19,31,13958
172,6038,14,35,13913
173,6067,18,36,13879
174,6106,19,38,13837
175,6127,21,39,13813
176,6161,24,39,13776
177,6203,25,40,13732
178,6222,22,42,13714
179,6261,24,42,13673
180,6294,27,46,13633
181,6323,29,44,13604
182,6345,28,47,13580
183,6361,33,53,13553
184,6385,42,56,13517
185,6404,44,58,13494
186,6430,45,64,13461
187,6453,43,69,13435
188,6492,37,68,13403
189,6525,44,65,13366
190,6548,40,72,13340
191,6561,50,69,13320
192,6590,52,70,13288
193,6613,52,75,13260
194,6627,58,85,13230
195,6630,62,91,13217
196,6652,61,94,13193
