Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19964,16,20,0
2,19948,26,23,3
3,19932,32,28,8
4,19918,38,29,15
5,19900,45,34,21
6,19871,58,48,23
7,19839,73,60,28
8,19799,91,71,39
9,19747,117,88,48
10,19690,135,113,62
11,19616,167,140,77
12,19522,213,170,95
13,19411,263,207,119
14,19288,315,248,149
15,19129,383,307,181
16,18955,441,385,219
17,18715,558,459,268
18,18420,692,562,326
19,18074,833,684,409
20,17640,1036,822,502
21,17167,1217,999,617
22,16587,1456,1200,757
23,15911,1737,1440,912
24,15150,2009,1754,1087
25,14203,2396,2111,1290
26,13205,2759,2461,1575
27,12126,3055,2899,1920
28,10993,3317,3402,2288
29,9765,3656,3861,2718
30,8536,3872,4444,3148
31,7328,4015,4903,3754
32,6157,4054,5382,4407
33,5180,3901,5851,5068
34,4237,3739,6171,5853
35,3447,3408,6474,6671
36,2752,3148,6526,7574
37,2195,2842,6519,8444
38,1783,2513,6420,9284
39,1424,2224,6222,10130
40,1201,1841,6011,10947
41,992,1533,5765,11710
42,856,1261,5425,12458
43,747,1037,5065,13151
44,655,876,4714,13755
45,587,713,4314,14386
46,556,588,3983,14873
47,509,500,3601,15390
48,512,388,3286,15814
49,509,334,2972,16185
50,524,283,2684,16509
51,533,250,2375,16842
52,550,224,2112,17114
53,592,186,1882,17340
54,610,164,1664,17562
55,640,140,1509,17711
56,657,135,1336,17872
57,682,117,1179,18022
58,716,112,1061,18111
59,750,98,943,18209
60,802,82,848,18268
61,840,80,750,18330
62,883,84,670,18363
63,931,72,592,18405
64,977,79,521,18423
65,1034,79,466,18421
66,1066,73,423,18438
67,1101,72,375,18452
68,1150,61,327,18462
69,1199,51,294,18456
70,1251,46,274,18429
71,1300,40,251,18409
72,1348,42,230,18380
73,1395,48,203,18354
74,1449,41,188,18322
75,1506,41,167,18286
76,1582,37,151,18230
77,1636,38,135,18191
78,1699,32,132,18137
79,1747,27,119,18107
80,1801,23,111,18065
81,1854,19,103,18024
82,1908,21,98,17973
83,1970,25,83,17922
84,2026,22,72,17880
85,2079,22,71,17828
86,2129,17,63,17791
87,2182,18,62,17738
88,2239,12,65,17684
89,2297,11,60,17632
90,2345,12,58,17585
91,2407,7,57,17529
92,2462,7,55,17476
93,2508,7,57,17428
94,2553,8,48,17391
95,2592,13,44,17351
96,2617,13,41,17329
97,2667,9,40,17284
98,2714,12,36,17238
99,2771,10,39,17180
100,2820,11,35,17134
101,2860,11,33,17096
102,2913,10,35,17042
103,2963,12,32,16993
104,3013,11,34,16942
105,3065,8,33,16894
106,3110,12,28,16850
107,3147,12,26,16815
108,3198,12,26,16764
109,3253,9,26,16712
110,3308,11,23,16658
111,3360,15,20,16605
112,3414,17,14,16555
113,3468,12,20,16500
114,3516,16,17,16451
115,3562,11,22,16405
116,3612,10,21,16357
117,3658,8,20,16314
118,3697,11,20,16272
119,3755,13,19,16213
120,3800,13,20,16167
121,3841,11,21,16127
122,3879,13,25,16083
123,3920,10,27,16043
124,3955,8,32,16005
125,4017,10,27,15946
126,4060,10,31,15899
127,4100,6,36,15858
128,4139,8,33,15820
129,4167,7,33,15793
130,4211,9,30,15750
131,4242,11,30,15717
132,4275,16,27,15682
133,4326,14,25,15635
134,4354,16,24,15606
135,4389,14,25,15572
136,4445,13,24,15518
137,4487,13,28,15472
138,4541,20,24,15415
139,4577,17,27,15379
140,4616,13,31,15340
141,4661,10,33,15296
142,4693,11,35,15261
143,4728,19,28,15225
144,4765,18,32,15185
145,4798,22,32,15148
146,4832,19,38,15111
147,4861,22,38,15079
148,4910,22,38,15030
149,4946,24,42,14988
150,4989,18,42,14951
151,5027,22,42,14909
152,5064,19,47,14870
153,5097,23,45,14835
154,5124,30,44,14802
155,5161,33,47,14759
156,5192,31,54,14723
157,5225,36,48,14691
158,5246,41,48,14665
159,5295,42,48,14615
160,5324,44,52,14580
161,5350,50,58,14542
162,5375,55,60,14510
163,5405,48,70,14477
164,5422,53,80,14445
165,5452,52,84,14412
166,5477,47,92,14384
167,5512,42,94,14352
168,5544,48,86,14322
169,5567,52,85,14296
170,5586,54,91,14269
171,5611,54,91,14244
172,5636,60,89,14215
173,5665,62,88,14185
174,5687,68,89,14156
175,5710,67,97,14126
176,5728,66,101,14105
177,5753,65,104,14078
178,5778,63,105,14054
179,5799,66,111,14024
180,5806,75,113,14006
181,5818,72,129,13981
182,5833,81,126,13960
183,5843,82,134,13941
184,5871,82,133,13914
185,5887,79,141,13893
186,5908,82,136,13874
187,5912,85,149,13854
188,5918,93,172,13817
189,5915,106,161,13818
190,5921,115,172,13792
191,5933,114,187,13766
192,5938,124,194,13744
193,5945,129,195,13731
194,5946,132,212,13710
195,5956,137,219,13688
196,5946,147,225,13682
197,5933,157,231,13679
