Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19966,14,20,0
2,19948,28,22,2
3,19931,39,24,6
4,19915,44,33,8
5,19892,60,35,13
6,19870,71,40,19
7,19840,75,58,27
8,19803,93,68,36
9,19754,115,82,49
10,19691,147,101,61
11,19624,174,130,72
12,19532,207,167,94
13,19413,272,208,107
14,19275,329,266,130
15,19106,413,314,167
16,18917,486,390,207
17,18650,621,458,271
18,18335,754,583,328
19,17971,883,747,399
20,17483,1127,888,502
21,16960,1333,1105,602
22,16314,1607,1321,758
23,15602,1877,1594,927
24,14726,2224,1913,1137
25,13768,2542,2313,1377
26,12721,2866,2705,1708
27,11584,3201,3133,2082
28,10399,3510,3605,2486
29,9225,3707,4099,2969
30,7961,3922,4588,3529
31,6819,3957,5105,4119
32,5690,3970,5564,4776
33,4692,3853,5943,5512
34,3836,3624,6260,6280
35,3115,3336,6469,7080
36,2474,3085,6538,7903
37,2003,2725,6508,8764
38,1599,2416,6447,9538
39,1301,2053,6287,10359
40,1067,1736,6053,11144
41,916,1403,5777,11904
42,783,1169,5426,12622
43,695,955,5051,13299
44,641,783,4701,13875
45,585,662,4258,14495
46,536,547,3898,15019
47,523,442,3519,15516
48,500,393,3152,15955
49,521,323,2873,16283
50,525,290,2570,16615
51,547,233,2323,16897
52,552,210,2085,17153
53,565,190,1898,17347
54,597,149,1697,17557
55,626,134,1507,17733
56,669,120,1325,17886
57,689,118,1166,18027
58,719,111,1042,18128
59,765,119,914,18202
60,819,104,809,18268
61,860,89,750,18301
62,909,88,662,18341
63,951,79,599,18371
64,1003,73,539,18385
65,1060,63,460,18417
66,1107,57,416,18420
67,1169,56,375,18400
68,1221,48,343,18388
69,1272,49,301,18378
70,1340,42,279,18339
71,1411,50,250,18289
72,1473,43,228,18256
73,1530,42,209,18219
74,1588,40,200,18172
75,1635,34,183,18148
76,1696,34,164,18106
77,1755,35,145,18065
78,1815,32,131,18022
79,1875,28,124,17973
80,1926,27,121,17926
81,1979,25,112,17884
82,2030,19,108,17843
83,2071,25,94,17810
84,2118,28,91,17763
85,2185,28,85,17702
86,2250,21,87,17642
87,2308,22,80,17590
88,2350,20,70,17560
89,2400,21,69,17510
90,2438,29,63,17470
91,2481,25,59,17435
92,2533,27,57,17383
