Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19962,18,20,0
2,19949,23,26,2
3,19926,39,28,7
4,19907,47,33,13
5,19890,50,46,14
6,19862,58,64,16
7,19837,73,67,23
8,19795,95,79,31
9,19735,129,94,42
10,19670,166,110,54
11,19600,193,144,63
12,19493,257,172,78
13,19384,293,225,98
14,19237,343,300,120
15,19017,456,363,164
16,18765,577,449,209
17,18505,686,540,269
18,18155,831,668,346
19,17722,1042,806,430
20,17209,1259,984,548
21,16606,1513,1225,656
22,15912,1776,1500,812
23,15043,2160,1796,1001
24,14057,2551,2145,1247
25,13069,2815,2555,1561
26,11929,3137,3031,1903
27,10687,3503,3522,2288
28,9466,3747,4051,2736
29,8199,4018,4513,3270
30,7046,4039,5041,3874
31,5889,4061,5507,4543
32,4850,3947,5963,5240
33,3928,3738,6353,5981
34,3117,3484,6578,6821
35,2540,3123,6679,7658
36,2031,2760,6682,8527
37,1622,2417,6558,9403
38,1328,2059,6358,10255
39,1109,1732,6066,11093
40,931,1441,5750,11878
41,794,1178,5426,12602
42,703,971,5066,13260
43,609,824,4666,13901
44,570,662,4271,14497
45,537,518,3892,15053
46,514,455,3534,15497
47,507,392,3161,15940
48,505,327,2884,16284
49,510,276,2576,16638
50,504,241,2272,16983
51,523,207,2014,17256
52,553,181,1800,17466
53,596,171,1593,17640
54,615,157,1413,17815
55,639,147,1267,17947
56,676,123,1141,18060
57,720,113,1012,18155
58,760,102,912,18226
59,797,102,808,18293
60,835,105,744,18316
61,881,100,662,18357
62,918,101,590,18391
63,969,84,518,18429
64,1010,81,471,18438
65,1067,72,423,18438
66,1110,76,394,18420
67,1161,64,364,18411
68,1225,58,323,18394
69,1277,44,303,18376
70,1333,37,274,18356
71,1380,39,246,18335
72,1417,44,222,18317
73,1460,48,209,18283
74,1522,42,198,18238
75,1565,46,172,18217
76,1607,46,149,18198
77,1671,32,152,18145
78,1719,36,133,18112
79,1775,27,125,18073
80,1816,30,114,18040
81,1872,29,109,17990
82,1923,27,102,17948
83,1965,24,96,17915
84,2007,19,93,17881
85,2063,17,85,17835
86,2114,14,80,17792
87,2164,17,70,17749
88,2231,14,66,17689
89,2282,18,52,17648
90,2342,17,48,17593
91,2403,19,44,17534
92,2459,16,41,17484
93,2515,13,38,17434
94,2560,8,37,17395
95,2616,8,34,17342
96,2656,11,32,17301
97,2722,9,29,17240
98,2775,9,29,17187
99,2816,12,23,17149
100,2850,15,21,17114
101,2897,16,19,17068
102,2954,12,23,17011
103,3005,13,24,16958
104,3055,11,25,16909
105,3110,10,22,16858
106,3164,9,21,16806
107,3199,7,21,16773
108,3243,7,22,16728
109,3288,8,22,16682
110,3338,6,23,16633
111,3376,9,16,16599
112,3420,12,12,16556
113,3463,10,11,16516
114,3516,8,12,16464
115,3554,6,15,16425
116,3599,8,15,16378
117,3648,8,16,16328
118,3704,11,13,16272
119,3751,8,18,16223
120,3810,9,15,16166
121,3844,8,16,16132
122,3892,5,19,16084
123,3925,5,18,16052
