Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19968,12,20,0
2,19954,21,21,4
3,19937,32,23,8
4,19918,46,24,12
5,19899,51,36,14
6,19871,66,42,21
7,19841,74,56,29
8,19801,90,71,38
9,19749,111,93,47
10,19696,135,110,59
11,19638,150,141,71
12,19539,206,164,91
13,19432,265,196,107
14,19292,333,237,138
15,19135,395,302,168
16,18925,491,374,210
17,18670,598,466,266
18,18380,722,562,336
19,18002,892,701,405
20,17556,1068,874,502
21,17033,1290,1062,615
22,16408,1543,1289,760
23,15674,1835,1548,943
24,14822,2191,1855,1132
25,13898,2529,2194,1379
26,12875,2867,2577,1681
27,11768,3192,3029,2011
28,10612,3438,3584,2366
29,9299,3777,4075,2849
30,8148,3870,4592,3390
31,6932,4040,5012,4016
32,5825,4010,5470,4695
33,4847,3867,5797,5489
34,3996,3636,6105,6263
35,3260,3398,6305,7037
36,2623,3137,6416,7824
37,2101,2810,6490,8599
38,1686,2428,6434,9452
39,1362,2053,6287,10298
40,1161,1695,6055,11089
41,963,1433,5750,11854
42,835,1201,5420,12544
43,739,989,5071,13201
44,655,828,4662,13855
45,613,684,4270,14433
46,562,569,3911,14958
47,531,482,3531,15456
48,524,399,3168,15909
49,517,338,2856,16289
50,533,289,2585,16593
51,539,256,2323,16882
52,540,227,2090,17143
53,558,214,1886,17342
54,581,197,1693,17529
55,624,164,1540,17672
56,655,135,1377,17833
57,692,108,1221,17979
58,735,100,1086,18079
59,781,107,956,18156
60,828,89,855,18228
61,880,77,740,18303
62,920,64,668,18348
63,972,63,579,18386
64,1017,59,495,18429
65,1058,53,440,18449
66,1115,43,408,18434
67,1184,43,366,18407
68,1236,29,332,18403
69,1302,27,284,18387
70,1357,33,263,18347
71,1419,36,235,18310
72,1461,33,217,18289
73,1515,35,196,18254
74,1558,37,179,18226
75,1611,36,167,18186
76,1658,43,151,18148
77,1708,39,135,18118
78,1764,38,124,18074
79,1814,32,118,18036
80,1882,31,104,17983
81,1933,28,103,17936
82,1987,27,98,17888
83,2051,24,91,17834
84,2108,25,78,17789
85,2165,28,66,17741
86,2236,23,63,17678
87,2290,25,62,17623
88,2350,23,62,17565
89,2398,22,60,17520
90,2444,23,56,17477
91,2497,21,52,17430
92,2559,17,49,17375
93,2613,11,50,17326
94,2672,11,48,17269
95,2731,12,39,17218
96,2782,16,38,17164
97,2836,18,35,17111
98,2890,17,30,17063
99,2947,14,33,17006
100,3000,17,30,16953
101,3060,18,28,16894
102,3112,15,29,16844
103,3147,10,32,16811
104,3184,12,23,16781
105,3227,13,22,16738
106,3276,11,23,16690
107,3326,14,20,16640
108,3368,15,21,16596
109,3417,10,26,16547
110,3448,15,24,16513
111,3495,16,20,16469
112,3542,19,20,16419
113,3592,17,22,16369
114,3636,13,25,16326
115,3674,16,25,16285
116,3709,18,26,16247
