Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19962,18,20,0
2,19950,22,23,5
3,19935,28,28,9
4,19915,41,32,12
5,19885,60,40,15
6,19856,71,52,21
7,19818,87,65,30
8,19770,107,86,37
9,19706,146,97,51
10,19643,162,134,61
11,19538,223,154,85
12,19443,255,199,103
13,19309,324,229,138
14,19162,374,291,173
15,18974,460,355,211
16,18746,554,443,257
17,18455,689,535,321
18,18115,834,664,387
19,17678,1022,837,463
20,17170,1242,1013,575
21,16548,1535,1185,732
22,15883,1779,1439,899
23,15108,2070,1733,1089
24,14244,2358,2087,1311
25,13280,2639,2501,1580
26,12148,3008,2904,1940
27,10985,3350,3334,2331
28,9828,3550,3844,2778
29,8589,3812,4292,3307
30,7416,3860,4835,3889
31,6292,3865,5310,4533
32,5214,3855,5705,5226
33,4245,3703,6089,5963
34,3441,3476,6330,6753
35,2761,3196,6505,7538
36,2188,2908,6544,8360
37,1757,2549,6509,9185
38,1418,2217,6333,10032
39,1169,1850,6107,10874
40,999,1511,5870,11620
41,870,1235,5522,12373
42,775,1050,5096,13079
43,690,894,4716,13700
44,636,716,4330,14318
45,593,592,3905,14910
46,567,494,3572,15367
47,549,405,3246,15800
48,547,334,2931,16188
49,564,291,2624,16521
50,570,254,2363,16813
51,586,221,2099,17094
52,600,197,1877,17326
53,620,186,1683,17511
54,641,169,1490,17700
55,671,144,1327,17858
56,699,138,1175,17988
57,744,134,1048,18074
58,777,131,944,18148
59,824,108,876,18192
60,875,90,793,18242
61,938,85,719,18258
62,991,77,652,18280
63,1031,68,584,18317
64,1071,64,508,18357
65,1121,64,450,18365
66,1170,69,402,18359
67,1221,63,358,18358
68,1291,54,327,18328
69,1356,52,299,18293
70,1416,48,265,18271
71,1479,46,237,18238
72,1534,36,217,18213
73,1584,41,191,18184
74,1630,41,176,18153
75,1677,40,159,18124
76,1734,36,148,18082
77,1790,26,142,18042
78,1840,27,130,18003
79,1893,25,115,17967
80,1935,27,104,17934
81,1999,25,97,17879
82,2051,33,92,17824
83,2105,30,87,17778
84,2155,28,85,17732
85,2216,28,75,17681
86,2263,26,70,17641
87,2316,16,66,17602
88,2367,21,62,17550
89,2419,19,63,17499
90,2467,20,59,17454
91,2519,22,54,17405
92,2573,19,52,17356
93,2612,23,44,17321
94,2661,22,40,17277
95,2708,23,41,17228
96,2752,25,40,17183
97,2807,18,45,17130
98,2861,18,41,17080
99,2913,19,38,17030
100,2968,17,40,16975
101,3018,15,40,16927
102,3076,16,40,16868
103,3122,18,39,16821
104,3166,19,38,16777
105,3215,18,38,16729
106,3261,18,36,16685
107,3312,19,31,16638
108,3358,19,33,16590
109,3401,17,34,16548
110,3447,18,37,16498
111,3486,14,37,16463
112,3541,11,37,16411
113,3584,14,31,16371
114,3628,16,28,16328
115,3667,13,27,16293
116,3707,15,26,16252
117,3757,12,28,16203
118,3798,12,28,16162
119,3848,12,26,16114
120,3904,10,24,16062
121,3948,11,24,16017
122,3985,13,27,15975
