Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19961,19,20,0
2,19950,21,25,4
3,19934,32,26,8
4,19910,49,30,11
5,19891,52,43,14
6,19867,64,46,23
7,19828,84,58,30
8,19783,100,74,43
9,19735,113,96,56
10,19679,140,117,64
11,19585,188,144,83
12,19495,225,173,107
13,19386,274,212,128
14,19252,331,261,156
15,19062,439,304,195
16,18861,527,380,232
17,18610,641,463,286
18,18308,750,574,368
19,17960,874,725,441
20,17493,1088,876,543
21,16951,1323,1076,650
22,16330,1602,1266,802
23,15641,1831,1558,970
24,14860,2077,1909,1154
25,13860,2471,2276,1393
26,12789,2860,2675,1676
27,11653,3228,3124,1995
28,10440,3535,3618,2407
29,9222,3789,4099,2890
30,8014,3891,4644,3451
31,6833,3974,5115,4078
32,5685,3973,5613,4729
33,4663,3937,5853,5547
34,3830,3638,6189,6343
35,3115,3353,6370,7162
36,2552,2963,6533,7952
37,2065,2623,6510,8802
38,1658,2313,6335,9694
39,1377,1990,6154,10479
40,1121,1687,5910,11282
41,924,1407,5635,12034
42,802,1144,5284,12770
43,718,942,4942,13398
44,646,813,4523,14018
45,597,677,4172,14554
46,560,563,3776,15101
47,537,478,3397,15588
48,519,388,3052,16041
49,517,313,2755,16415
50,532,273,2461,16734
51,559,228,2230,16983
52,583,190,1970,17257
53,618,165,1749,17468
54,662,147,1563,17628
55,709,146,1384,17761
56,735,132,1231,17902
57,755,135,1089,18021
58,788,111,972,18129
59,837,103,882,18178
60,893,85,807,18215
61,930,92,698,18280
62,966,83,642,18309
63,1018,82,566,18334
64,1064,86,496,18354
65,1121,82,436,18361
66,1154,72,411,18363
67,1217,77,377,18329
68,1264,71,340,18325
69,1307,67,310,18316
70,1352,49,289,18310
71,1390,65,254,18291
72,1448,56,240,18256
73,1507,53,218,18222
74,1558,45,199,18198
75,1605,39,186,18170
76,1667,42,158,18133
77,1707,45,138,18110
78,1769,38,122,18071
79,1817,41,110,18032
80,1866,30,113,17991
81,1917,30,95,17958
82,1968,26,90,17916
83,2017,17,84,17882
84,2054,23,67,17856
85,2108,21,63,17808
86,2167,21,60,17752
87,2219,19,56,17706
88,2273,16,53,17658
89,2337,11,54,17598
90,2395,14,46,17545
91,2443,13,41,17503
92,2488,12,39,17461
93,2536,9,42,17413
94,2586,11,37,17366
95,2635,15,32,17318
96,2699,12,29,17260
97,2762,10,27,17201
98,2823,12,26,17139
99,2879,8,27,17086
100,2924,5,31,17040
101,2979,5,30,16986
102,3038,4,28,16930
103,3081,3,26,16890
104,3128,4,23,16845
105,3169,5,23,16803
106,3218,5,22,16755
107,3272,4,20,16704
108,3324,3,20,16653
109,3382,6,18,16594
110,3438,3,16,16543
111,3483,4,13,16500
112,3537,0,17,16446
113,3586,1,12,16401
114,3640,1,8,16351
115,3694,1,7,16298
116,3745,0,5,16250
117,3781,2,4,16213
118,3832,2,3,16163
119,3876,2,3,16119
120,3929,2,4,16065
121,3974,3,3,16020
122,4014,1,5,15980
123,4075,1,4,15920
124,4124,1,4,15871
125,4168,1,4,15827
126,4229,3,3,15765
127,4279,3,3,15715
128,4319,2,4,15675
129,4371,2,4,15623
130,4406,4,4,15586
131,4461,4,4,15531
132,4497,3,6,15494
133,4546,3,6,15445
134,4577,5,6,15412
135,4614,2,9,15375
136,4648,1,8,15343
137,4696,2,8,15294
138,4741,2,7,15250
139,4782,2,6,15210
140,4816,2,6,15176
141,4858,0,8,15134
142,4903,2,8,15087
143,4951,3,9,15037
144,4985,2,10,15003
145,5021,0,7,14972
146,5064,0,7,14929
147,5108,1,4,14887
148,5150,0,4,14846
149,5193,0,4,14803
150,5237,0,4,14759
151,5278,1,4,14717
152,5316,1,3,14680
153,5358,1,2,14639
154,5390,1,3,14606
155,5431,1,3,14565
156,5473,1,3,14523
157,5514,2,3,14481
158,5555,2,3,14440
159,5606,2,3,14389
160,5639,1,4,14356
161,5668,1,4,14327
162,5697,2,5,14296
163,5742,1,5,14252
164,5776,1,5,14218
165,5807,3,6,14184
166,5842,4,5,14149
167,5894,4,5,14097
168,5928,4,6,14062
169,5963,4,7,14026
170,5998,5,6,13991
171,6028,3,8,13961
172,6073,7,7,13913
173,6102,7,9,13882
174,6131,9,9,13851
175,6182,6,13,13799
176,6233,6,9,13752
177,6271,6,9,13714
178,6301,2,11,13686
179,6345,4,9,13642
180,6386,3,10,13601
181,6417,9,7,13567
182,6449,7,10,13534
183,6479,7,10,13504
184,6524,5,13,13458
185,6555,8,11,13426
186,6595,8,13,13384
187,6630,10,13,13347
188,6670,9,11,13310
189,6701,9,12,13278
190,6734,10,14,13242
191,6767,11,13,13209
192,6802,9,16,13173
193,6837,12,10,13141
194,6870,15,12,13103
195,6913,14,14,13059
196,6946,10,18,13026
197,6979,17,16,12988
198,7019,16,19,12946
199,7062,12,22,12904
200,7091,13,23,12873
201,7121,14,20,12845
202,7153,13,26,12808
203,7188,17,24,12771
204,7207,17,24,12752
205,7232,21,22,12725
206,7268,22,22,12688
207,7296,18,28,12658
208,7327,23,27,12623
209,7361,22,32,12585
210,7380,28,34,12558
211,7420,28,35,12517
212,7441,33,39,12487
213,7470,35,42,12453
214,7489,34,49,12428
215,7527,33,47,12393
216,7550,36,43,12371
217,7579,33,47,12341
218,7598,34,55,12313
219,7624,35,57,12284
220,7640,42,59,12259
221,7652,41,63,12244
222,7669,41,70,12220
223,7688,46,72,12194
224,7702,50,82,12166
225,7708,57,88,12147
226,7727,59,87,12127
227,7742,65,94,12099
228,7760,70,93,12077
229,7772,75,99,12054
230,7774,82,107,12037
231,7774,88,119,12019
232,7778,91,126,12005
233,7772,114,128,11986
234,7777,117,140,11966
235,7752,119,154,11975
236,7755,132,165,11948
237,7753,131,180,11936
238,7728,142,192,11938
239,7723,138,204,11935
240,7695,151,224,11930
241,7650,170,242,11938
242,7616,188,275,11921
243,7576,211,287,11926
244,7541,214,316,11929
245,7499,248,318,11935
246,7476,234,348,11942
247,7431,248,373,11948
248,7356,279,406,11959
249,7298,294,435,11973
250,7238,316,444,12002
251,7174,323,480,12023
252,7099,352,500,12049
253,7016,376,524,12084
254,6923,409,538,12130
255,6848,415,581,12156
256,6746,444,623,12187
257,6625,471,657,12247
258,6504,497,706,12293
259,6391,503,750,12356
260,6271,524,795,12410
261,6136,542,829,12493
262,6004,566,851,12579
263,5873,564,896,12667
264,5754,576,935,12735
265,5612,614,938,12836
266,5467,624,997,12912
267,5315,649,1033,13003
268,5191,616,1083,13110
269,5075,604,1127,13194
270,4906,639,1173,13282
271,4725,687,1202,13386
272,4580,668,1240,13512
273,4440,675,1276,13609
274,4270,687,1278,13765
275,4139,668,1288,13905
276,4032,652,1302,14014
277,3919,653,1269,14159
278,3812,640,1290,14258
279,3705,607,1305,14383
280,3573,595,1314,14518
281,3442,609,1292,14657
282,3335,599,1277,14789
283,3263,563,1261,14913
284,3176,548,1235,15041
285,3105,504,1222,15169
286,3030,499,1193,15278
287,2976,475,1152,15397
288,2915,469,1099,15517
289,2894,412,1088,15606
290,2846,403,1064,15687
291,2795,413,1028,15764
292,2766,398,1006,15830
293,2724,392,985,15899
294,2715,375,962,15948
295,2705,349,937,16009
296,2708,316,912,16064
297,2685,303,873,16139
298,2657,307,833,16203
299,2659,299,789,16253
300,2643,303,762,16292
301,2634,295,749,16322
302,2633,281,726,16360
303,2643,267,700,16390
304,2668,258,659,16415
305,2680,244,636,16440
306,2688,244,607,16461
307,2704,224,587,16485
308,2722,204,547,16527
309,2757,202,519,16522
310,2774,208,502,16516
311,2794,215,490,16501
312,2849,202,462,16487
313,2886,185,472,16457
314,2924,187,452,16437
315,2954,173,440,16433
316,2987,174,423,16416
317,3051,148,422,16379
