Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19966,14,20,0
2,19953,24,22,1
3,19940,29,29,2
4,19920,42,32,6
5,19879,69,40,12
6,19842,88,54,16
7,19805,106,65,24
8,19757,137,70,36
9,19692,165,102,41
10,19622,195,126,57
11,19535,232,163,70
12,19440,253,218,89
13,19288,331,262,119
14,19134,388,319,159
15,18915,500,379,206
16,18683,576,500,241
17,18355,758,582,305
18,17979,923,704,394
19,17572,1072,861,495
20,17083,1256,1042,619
21,16478,1535,1240,747
22,15797,1812,1490,901
23,14965,2132,1795,1108
24,14069,2408,2203,1320
25,13082,2729,2573,1616
26,11978,3075,2975,1972
27,10833,3343,3458,2366
28,9575,3670,3932,2823
29,8355,3854,4461,3330
30,7103,4022,4945,3930
31,5980,3969,5462,4589
32,5023,3789,5906,5282
33,4119,3610,6202,6069
34,3335,3408,6393,6864
35,2661,3205,6437,7697
36,2186,2781,6467,8566
37,1784,2451,6386,9379
38,1463,2114,6196,10227
39,1223,1817,5948,11012
40,1035,1507,5756,11702
41,888,1251,5425,12436
42,761,1050,5054,13135
43,690,866,4689,13755
44,636,704,4278,14382
45,597,583,3945,14875
46,581,482,3614,15323
47,559,400,3249,15792
48,557,333,2892,16218
49,573,286,2595,16546
50,592,251,2338,16819
51,605,216,2111,17068
52,628,199,1895,17278
53,648,175,1715,17462
54,682,157,1538,17623
55,713,136,1390,17761
56,741,137,1251,17871
57,776,129,1109,17986
58,826,109,994,18071
59,870,107,880,18143
60,891,107,784,18218
61,935,84,700,18281
62,961,87,633,18319
63,1026,82,567,18325
64,1077,68,517,18338
65,1127,69,456,18348
66,1175,62,418,18345
67,1231,56,371,18342
68,1283,59,345,18313
69,1331,66,317,18286
70,1393,61,300,18246
71,1438,55,285,18222
72,1492,49,264,18195
73,1546,40,237,18177
74,1607,32,217,18144
75,1659,35,195,18111
76,1706,37,175,18082
77,1754,42,146,18058
78,1829,30,142,17999
79,1874,26,142,17958
80,1915,32,121,17932
81,1974,34,110,17882
82,2051,34,93,17822
83,2116,32,88,17764
84,2159,41,83,17717
85,2212,38,79,17671
86,2260,32,82,17626
87,2318,25,86,17571
88,2385,24,77,17514
89,2447,22,75,17456
90,2498,21,75,17406
91,2552,24,72,17352
92,2588,28,66,17318
