Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19970,10,20,0
2,19960,18,18,4
3,19945,26,22,7
4,19933,30,27,10
5,19914,40,30,16
6,19888,53,43,16
7,19863,63,54,20
8,19833,72,66,29
9,19794,89,80,37
10,19744,112,99,45
11,19692,138,114,56
12,19617,180,121,82
13,19534,209,162,95
14,19435,244,202,119
15,19291,318,244,147
16,19144,382,295,179
17,18947,469,374,210
18,18703,573,462,262
19,18427,685,565,323
20,18085,814,699,402
21,17678,1000,826,496
22,17158,1247,978,617
23,16591,1480,1180,749
24,15901,1784,1415,900
25,15121,2043,1771,1065
26,14218,2379,2091,1312
27,13145,2787,2505,1563
28,12062,3089,2944,1905
29,10857,3449,3408,2286
30,9608,3707,3939,2746
31,8346,3932,4454,3268
32,7138,4061,4931,3870
33,6053,4008,5433,4506
34,4994,3952,5821,5233
35,4094,3700,6209,5997
36,3320,3495,6402,6783
37,2689,3167,6515,7629
38,2151,2852,6542,8455
39,1744,2500,6459,9297
40,1428,2126,6302,10144
41,1159,1817,6023,11001
42,964,1550,5727,11759
43,807,1281,5447,12465
44,707,998,5117,13178
45,625,835,4678,13862
46,580,718,4253,14449
47,552,593,3875,14980
48,526,492,3550,15432
49,512,414,3247,15827
50,520,351,2931,16198
51,519,297,2680,16504
52,513,272,2411,16804
53,538,226,2183,17053
54,569,186,1965,17280
55,594,169,1715,17522
56,598,175,1536,17691
57,645,153,1370,17832
58,661,151,1237,17951
59,709,113,1133,18045
60,736,103,1024,18137
61,790,89,914,18207
62,821,83,811,18285
63,867,76,709,18348
64,918,66,630,18386
65,981,68,549,18402
66,1032,60,494,18414
67,1081,56,436,18427
68,1147,52,391,18410
69,1193,56,354,18397
70,1247,54,324,18375
71,1303,53,287,18357
72,1359,53,265,18323
73,1404,47,238,18311
74,1466,53,214,18267
75,1508,51,201,18240
76,1559,53,179,18209
77,1605,47,158,18190
78,1674,37,145,18144
79,1738,29,136,18097
80,1789,33,129,18049
81,1826,37,122,18015
82,1859,37,112,17992
83,1924,30,106,17940
84,1984,29,99,17888
85,2045,26,96,17833
86,2103,24,92,17781
87,2156,25,83,17736
88,2205,25,78,17692
89,2265,17,73,17645
90,2314,16,73,17597
