Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19963,17,20,0
2,19951,27,19,3
3,19935,34,26,5
4,19924,35,31,10
5,19901,46,37,16
6,19879,58,44,19
7,19843,73,56,28
8,19790,108,65,37
9,19743,121,93,43
10,19688,144,110,58
11,19624,166,130,80
12,19531,221,156,92
13,19427,261,206,106
14,19278,337,251,134
15,19124,401,308,167
16,18950,449,393,208
17,18683,589,459,269
18,18394,705,565,336
19,18029,867,679,425
20,17614,999,879,508
21,17086,1222,1068,624
22,16448,1497,1285,770
23,15778,1745,1531,946
24,14985,2052,1827,1136
25,14019,2455,2130,1396
26,13035,2745,2558,1662
27,11899,3116,2987,1998
28,10749,3423,3442,2386
29,9521,3663,3984,2832
30,8286,3920,4467,3327
31,7125,3977,4975,3923
32,6006,3996,5462,4536
33,4963,3907,5874,5256
34,4045,3711,6243,6001
35,3214,3494,6479,6813
36,2588,3201,6581,7630
37,2094,2755,6683,8468
38,1655,2451,6579,9315
39,1334,2072,6400,10194
40,1100,1728,6123,11049
41,935,1441,5844,11780
42,815,1156,5505,12524
43,711,974,5127,13188
44,641,826,4665,13868
45,603,657,4292,14448
46,575,541,3933,14951
47,559,461,3559,15421
48,557,402,3159,15882
49,561,336,2839,16264
50,579,276,2532,16613
51,583,226,2291,16900
52,605,201,2053,17141
53,611,186,1842,17361
54,632,166,1620,17582
55,665,148,1431,17756
56,692,120,1308,17880
57,729,104,1155,18012
58,773,97,1002,18128
59,803,100,883,18214
60,859,88,800,18253
61,903,82,713,18302
62,947,75,638,18340
63,995,78,566,18361
64,1041,72,512,18375
65,1084,70,445,18401
66,1136,63,400,18401
67,1197,57,353,18393
68,1247,48,311,18394
69,1303,47,279,18371
70,1360,46,256,18338
71,1422,45,225,18308
72,1487,38,206,18269
73,1535,49,179,18237
74,1578,46,161,18215
75,1634,45,144,18177
76,1701,36,148,18115
77,1770,29,140,18061
78,1814,30,127,18029
79,1887,33,110,17970
80,1944,25,102,17929
81,2005,23,94,17878
82,2056,16,89,17839
83,2117,16,76,17791
84,2176,14,73,17737
85,2247,14,66,17673
86,2297,15,58,17630
87,2359,20,50,17571
88,2413,17,53,17517
89,2461,17,51,17471
90,2516,22,42,17420
91,2564,22,40,17374
92,2620,16,43,17321
93,2670,17,37,17276
94,2719,13,39,17229
95,2761,12,36,17191
96,2809,12,37,17142
97,2857,12,39,17092
98,2905,11,36,17048
99,2956,11,38,16995
100,3006,9,36,16949
101,3060,12,31,16897
102,3101,14,29,16856
103,3144,13,28,16815
104,3184,14,26,16776
105,3230,8,32,16730
106,3294,9,25,16672
