Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19970,10,20,0
2,19959,17,20,4
3,19947,23,23,7
4,19938,27,26,9
5,19922,34,33,11
6,19900,47,36,17
7,19876,56,47,21
8,19843,67,64,26
9,19788,102,79,31
10,19729,142,89,40
11,19661,172,111,56
12,19574,222,136,68
13,19483,252,186,79
14,19364,292,242,102
15,19205,371,293,131
16,19030,446,352,172
17,18809,553,420,218
18,18536,670,518,276
19,18196,823,634,347
20,17833,953,777,437
21,17345,1151,963,541
22,16780,1392,1156,672
23,16097,1645,1439,819
24,15336,1947,1715,1002
25,14411,2308,2060,1221
26,13379,2670,2463,1488
27,12281,2993,2922,1804
28,11147,3264,3390,2199
29,9924,3537,3905,2634
30,8697,3767,4361,3175
31,7435,3926,4908,3731
32,6242,4047,5258,4453
33,5176,3878,5798,5148
34,4246,3730,6119,5905
35,3435,3481,6366,6718
36,2777,3141,6574,7508
37,2231,2823,6648,8298
38,1787,2446,6607,9160
39,1416,2164,6437,9983
40,1162,1832,6177,10829
41,1001,1521,5852,11626
42,844,1303,5519,12334
43,724,1081,5176,13019
44,635,903,4820,13642
45,579,743,4461,14217
46,531,632,4027,14810
47,527,508,3665,15300
48,538,423,3328,15711
49,521,358,2991,16130
50,518,303,2682,16497
51,527,260,2414,16799
52,542,221,2179,17058
53,575,198,1962,17265
54,595,180,1758,17467
55,636,156,1561,17647
56,668,143,1397,17792
57,714,112,1266,17908
58,759,90,1120,18031
59,795,86,972,18147
60,842,82,864,18212
61,879,82,767,18272
62,916,81,698,18305
63,938,75,618,18369
64,1003,64,548,18385
65,1050,69,476,18405
66,1103,68,433,18396
67,1158,67,376,18399
68,1213,51,342,18394
69,1275,55,290,18380
70,1347,51,267,18335
71,1419,43,246,18292
72,1479,40,224,18257
73,1549,41,207,18203
74,1605,34,202,18159
75,1649,42,179,18130
76,1693,48,171,18088
77,1757,38,164,18041
78,1804,35,152,18009
79,1877,31,150,17942
80,1941,30,123,17906
81,2005,33,107,17855
82,2047,42,97,17814
83,2085,37,92,17786
84,2153,31,97,17719
85,2208,28,89,17675
86,2264,29,85,17622
87,2313,30,80,17577
88,2365,26,75,17534
89,2410,22,71,17497
90,2462,13,73,17452
