Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19970,10,20,0
2,19955,20,22,3
3,19945,26,24,5
4,19922,42,26,10
5,19909,45,33,13
6,19878,58,49,15
7,19842,74,65,19
8,19796,98,82,24
9,19746,130,92,32
10,19680,156,116,48
11,19589,212,141,58
12,19482,273,168,77
13,19376,298,229,97
14,19225,365,288,122
15,19048,432,360,160
16,18829,520,455,196
17,18540,661,546,253
18,18196,808,675,321
19,17750,1012,835,403
20,17254,1213,1021,512
21,16645,1460,1250,645
22,15899,1794,1481,826
23,15117,2051,1785,1047
24,14172,2419,2134,1275
25,13115,2798,2515,1572
26,11957,3161,2977,1905
27,10773,3468,3467,2292
28,9586,3738,3942,2734
29,8357,3970,4417,3256
30,7142,4128,4928,3802
31,6043,4095,5466,4396
32,4968,3959,5913,5160
33,4071,3724,6277,5928
34,3281,3441,6555,6723
35,2649,3082,6666,7603
36,2108,2759,6619,8514
37,1723,2395,6534,9348
38,1401,2081,6385,10133
39,1144,1764,6086,11006
40,967,1486,5744,11803
41,821,1235,5411,12533
42,730,1026,5041,13203
43,654,860,4696,13790
44,602,700,4337,14361
45,563,578,3970,14889
46,555,472,3590,15383
47,532,396,3222,15850
48,519,330,2884,16267
49,524,285,2585,16606
50,539,254,2322,16885
51,554,225,2060,17161
52,585,190,1856,17369
53,626,163,1638,17573
54,656,173,1439,17732
55,695,155,1292,17858
56,729,136,1158,17977
57,763,116,1068,18053
58,804,112,951,18133
59,878,89,875,18158
60,920,91,784,18205
61,968,91,703,18238
62,1016,83,626,18275
63,1065,76,561,18298
64,1130,66,511,18293
65,1164,67,472,18297
66,1219,69,425,18287
67,1284,61,381,18274
68,1335,58,329,18278
69,1379,57,281,18283
70,1445,50,247,18258
71,1494,49,224,18233
72,1547,51,204,18198
73,1605,51,182,18162
74,1659,48,168,18125
75,1719,43,164,18074
76,1779,43,152,18026
77,1840,44,140,17976
78,1905,37,127,17931
79,1953,36,120,17891
80,2016,27,118,17839
81,2075,21,110,17794
82,2115,28,97,17760
83,2175,30,89,17706
84,2229,30,83,17658
85,2299,25,85,17591
86,2349,23,81,17547
87,2394,25,79,17502
88,2441,29,76,17454
89,2497,28,75,17400
90,2552,32,62,17354
