Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19969,11,20,0
2,19954,24,19,3
3,19943,28,26,3
4,19931,35,28,6
5,19915,42,32,11
6,19887,55,41,17
7,19854,77,47,22
8,19825,79,67,29
9,19776,110,75,39
10,19726,129,98,47
11,19657,171,114,58
12,19566,211,152,71
13,19468,252,194,86
14,19333,324,233,110
15,19158,384,319,139
16,18927,526,368,179
17,18705,587,479,229
18,18412,721,575,292
19,18005,902,727,366
20,17551,1086,893,470
21,17028,1290,1078,604
22,16418,1539,1286,757
23,15698,1858,1523,921
24,14912,2122,1847,1119
25,13961,2463,2194,1382
26,12953,2788,2585,1674
27,11854,3111,3055,1980
28,10662,3459,3512,2367
29,9446,3691,3989,2874
30,8306,3773,4526,3395
31,7132,3864,5016,3988
32,6030,3891,5413,4666
33,4990,3842,5800,5368
34,4053,3769,6067,6111
35,3237,3500,6341,6922
36,2652,3100,6495,7753
37,2113,2767,6492,8628
38,1722,2399,6418,9461
39,1390,2063,6240,10307
40,1145,1787,5982,11086
41,967,1472,5709,11852
42,817,1260,5336,12587
43,713,1017,4991,13279
44,658,850,4596,13896
45,615,703,4226,14456
46,588,549,3871,14992
47,575,462,3510,15453
48,574,395,3160,15871
49,570,333,2852,16245
50,563,311,2591,16535
51,572,263,2349,16816
52,588,223,2083,17106
53,608,190,1912,17290
54,642,165,1700,17493
55,679,148,1520,17653
56,703,138,1353,17806
57,735,122,1203,17940
58,767,116,1058,18059
59,818,108,941,18133
60,867,86,861,18186
61,892,89,772,18247
62,929,84,687,18300
63,968,77,626,18329
64,1019,72,575,18334
65,1081,62,510,18347
66,1132,62,445,18361
67,1189,50,418,18343
68,1235,58,373,18334
69,1294,55,330,18321
70,1355,52,298,18295
71,1416,53,273,18258
72,1468,51,243,18238
73,1520,49,225,18206
74,1578,49,211,18162
75,1611,55,187,18147
76,1673,43,180,18104
77,1718,43,169,18070
78,1790,34,140,18036
79,1847,31,131,17991
80,1903,31,119,17947
81,1956,22,109,17913
82,2003,20,103,17874
83,2050,27,88,17835
84,2125,23,87,17765
85,2172,30,73,17725
86,2221,34,68,17677
87,2273,33,64,17630
88,2324,29,67,17580
89,2370,29,64,17537
90,2415,29,62,17494
91,2459,24,63,17454
92,2515,25,61,17399
93,2580,20,58,17342
94,2633,24,59,17284
95,2674,22,57,17247
96,2715,24,54,17207
97,2763,22,51,17164
98,2817,22,43,17118
99,2876,21,40,17063
100,2914,18,46,17022
101,2957,19,45,16979
102,3008,21,42,16929
103,3065,16,45,16874
104,3104,13,45,16838
105,3137,11,39,16813
106,3183,14,38,16765
107,3229,19,35,16717
108,3268,20,32,16680
109,3308,18,28,16646
110,3349,18,29,16604
111,3400,12,31,16557
112,3437,22,32,16509
113,3483,24,29,16464
114,3527,21,34,16418
115,3561,22,34,16383
116,3610,16,38,16336
117,3655,19,41,16285
118,3692,19,42,16247
119,3738,20,44,16198
120,3776,22,38,16164
121,3818,20,41,16121
122,3863,23,41,16073
123,3900,18,48,16034
124,3952,20,45,15983
125,4003,25,42,15930
126,4046,23,39,15892
127,4087,22,38,15853
128,4121,24,39,15816
129,4159,23,40,15778
130,4205,22,40,15733
131,4226,15,49,15710
132,4265,21,49,15665
133,4297,19,51,15633
134,4335,30,50,15585
135,4374,30,54,15542
136,4394,29,56,15521
137,4429,30,53,15488
138,4465,35,49,15451
139,4504,30,50,15416
140,4539,30,55,15376
141,4578,26,57,15339
142,4614,35,53,15298
143,4656,30,60,15254
144,4686,37,56,15221
145,4719,31,57,15193
146,4770,28,55,15147
147,4808,26,58,15108
148,4843,32,57,15068
149,4880,32,59,15029
150,4917,37,59,14987
151,4952,33,57,14958
152,4978,33,58,14931
153,5020,35,63,14882
154,5051,41,62,14846
155,5093,42,60,14805
156,5122,40,64,14774
157,5168,41,66,14725
158,5189,51,67,14693
159,5225,49,65,14661
160,5249,51,71,14629
161,5277,47,78,14598
162,5311,45,76,14568
163,5337,48,86,14529
164,5358,51,87,14504
165,5378,57,86,14479
166,5399,57,92,14452
167,5435,53,99,14413
168,5461,53,100,14386
169,5485,58,107,14350
170,5510,51,111,14328
171,5530,65,106,14299
172,5550,69,106,14275
173,5587,75,103,14235
174,5598,82,107,14213
175,5619,75,113,14193
176,5642,76,124,14158
177,5654,80,130,14136
178,5663,79,139,14119
179,5687,76,145,14092
180,5710,83,145,14062
181,5713,104,144,14039
182,5722,108,145,14025
183,5728,101,164,14007
184,5730,111,164,13995
185,5742,112,178,13968
186,5741,112,188,13959
187,5751,110,192,13947
188,5763,130,186,13921
189,5774,128,199,13899
190,5792,128,207,13873
191,5793,140,216,13851
192,5809,140,221,13830
193,5817,145,225,13813
194,5820,147,230,13803
195,5833,149,242,13776
196,5836,155,248,13761
197,5824,169,252,13755
198,5822,171,262,13745
199,5805,189,278,13728
200,5787,178,306,13729
201,5748,195,307,13750
202,5745,193,316,13746
203,5724,189,348,13739
204,5701,202,360,13737
205,5673,210,377,13740
206,5639,217,387,13757
207,5606,233,392,13769
208,5579,251,402,13768
209,5547,271,402,13780
210,5515,262,407,13816
211,5478,274,422,13826
212,5435,265,462,13838
213,5383,283,471,13863
214,5332,298,482,13888
215,5288,312,496,13904
216,5268,321,492,13919
217,5234,307,519,13940
218,5191,303,544,13962
219,5176,283,559,13982
220,5136,303,575,13986
221,5098,314,577,14011
222,5052,324,595,14029
223,5023,318,598,14061
224,4962,332,605,14101
225,4920,351,605,14124
226,4875,341,610,14174
227,4834,339,635,14192
228,4787,341,660,14212
229,4720,370,649,14261
230,4690,352,677,14281
231,4640,362,682,14316
232,4579,378,687,14356
233,4527,363,715,14395
234,4486,362,738,14414
235,4444,363,746,14447
236,4388,374,742,14496
237,4349,367,757,14527
238,4308,389,749,14554
239,4269,400,733,14598
240,4228,424,708,14640
241,4196,396,740,14668
242,4161,399,744,14696
243,4101,407,783,14709
244,4046,378,828,14748
245,4006,375,824,14795
246,3934,404,808,14854
247,3879,405,813,14903
248,3853,371,825,14951
249,3823,383,816,14978
250,3779,376,829,15016
251,3721,385,823,15071
252,3699,372,825,15104
