Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19964,16,20,0
2,19950,26,22,2
3,19936,27,32,5
4,19914,40,36,10
5,19888,55,42,15
6,19858,72,49,21
7,19829,85,57,29
8,19793,98,73,36
9,19757,110,91,42
10,19713,120,114,53
11,19634,155,147,64
12,19531,217,172,80
13,19415,272,200,113
14,19281,332,253,134
15,19118,399,311,172
16,18939,469,386,206
17,18698,575,465,262
18,18378,736,564,322
19,17996,905,710,389
20,17559,1089,883,469
21,17042,1286,1097,575
22,16365,1596,1316,723
23,15654,1866,1595,885
24,14793,2239,1886,1082
25,13831,2559,2280,1330
26,12782,2893,2695,1630
27,11682,3218,3087,2013
28,10545,3394,3638,2423
29,9247,3668,4161,2924
30,8009,3887,4588,3516
31,6841,3950,5099,4110
32,5766,3871,5582,4781
33,4765,3797,5921,5517
34,3838,3657,6268,6237
35,3129,3336,6472,7063
36,2512,3013,6584,7891
37,2022,2667,6539,8772
38,1638,2358,6377,9627
39,1347,2025,6197,10431
40,1124,1718,5949,11209
41,960,1398,5674,11968
42,821,1175,5336,12668
43,725,988,4876,13411
44,646,800,4555,13999
45,611,650,4147,14592
46,558,552,3786,15104
47,564,456,3426,15554
48,541,379,3108,15972
49,535,332,2812,16321
50,527,311,2526,16636
51,541,257,2275,16927
52,565,229,2017,17189
53,602,196,1798,17404
54,642,181,1616,17561
55,689,161,1448,17702
56,741,134,1312,17813
57,764,136,1156,17944
58,780,124,1045,18051
59,832,112,946,18110
60,877,100,837,18186
61,918,98,755,18229
62,962,93,676,18269
63,1018,80,595,18307
64,1056,72,534,18338
65,1120,72,479,18329
66,1156,72,434,18338
67,1209,68,406,18317
68,1253,65,376,18306
69,1311,64,344,18281
70,1355,58,306,18281
71,1404,58,290,18248
72,1444,62,256,18238
73,1498,60,223,18219
74,1554,60,208,18178
75,1607,52,202,18139
76,1649,47,188,18116
77,1702,44,175,18079
78,1755,38,158,18049
79,1822,33,148,17997
80,1882,28,145,17945
81,1929,30,132,17909
82,1992,30,118,17860
83,2056,32,106,17806
84,2098,25,104,17773
85,2150,25,99,17726
86,2203,17,87,17693
87,2261,15,82,17642
88,2309,20,72,17599
89,2362,18,72,17548
90,2417,22,63,17498
91,2479,23,59,17439
92,2530,19,59,17392
93,2571,23,53,17353
94,2609,19,55,17317
95,2671,15,55,17259
96,2741,14,50,17195
97,2796,15,48,17141
98,2846,10,51,17093
99,2898,11,51,17040
100,2953,18,44,16985
101,3000,19,38,16943
102,3058,15,39,16888
103,3108,19,39,16834
104,3156,11,43,16790
105,3202,10,38,16750
106,3242,11,36,16711
107,3286,8,37,16669
108,3325,15,31,16629
109,3387,16,30,16567
110,3431,14,34,16521
111,3468,15,30,16487
112,3520,19,29,16432
113,3574,17,29,16380
114,3617,10,34,16339
115,3676,13,33,16278
116,3710,15,31,16244
117,3750,19,30,16201
118,3799,13,33,16155
119,3836,15,29,16120
120,3884,13,28,16075
121,3924,9,30,16037
122,3964,13,23,16000
123,4016,11,23,15950
124,4064,8,24,15904
125,4098,10,23,15869
126,4140,7,26,15827
127,4172,6,28,15794
128,4216,7,26,15751
129,4274,8,26,15692
130,4317,11,23,15649
131,4363,13,24,15600
132,4407,13,23,15557
133,4444,11,25,15520
134,4495,7,28,15470
135,4550,6,26,15418
136,4590,8,25,15377
137,4620,9,26,15345
138,4655,7,26,15312
139,4697,8,28,15267
140,4741,9,25,15225
141,4782,8,27,15183
142,4840,11,26,15123
143,4880,11,25,15084
144,4922,11,25,15042
145,4955,14,23,15008
146,4996,14,21,14969
147,5038,15,20,14927
148,5088,13,16,14883
149,5124,8,18,14850
150,5164,9,15,14812
151,5202,9,16,14773
152,5238,10,18,14734
153,5284,10,20,14686
154,5321,9,21,14649
155,5360,17,17,14606
156,5390,13,23,14574
157,5433,14,21,14532
158,5467,14,16,14503
159,5496,12,19,14473
160,5539,12,18,14431
161,5577,16,17,14390
162,5610,15,17,14358
163,5651,15,14,14320
164,5680,15,16,14289
165,5722,13,18,14247
166,5749,13,24,14214
167,5789,15,23,14173
168,5823,19,22,14136
169,5866,21,23,14090
170,5900,22,25,14053
171,5936,21,29,14014
172,5966,20,31,13983
173,6001,22,30,13947
174,6043,24,31,13902
175,6076,23,30,13871
176,6101,25,37,13837
177,6132,20,45,13803
178,6171,24,43,13762
179,6201,32,42,13725
180,6222,30,47,13701
181,6243,34,46,13677
182,6274,35,48,13643
183,6317,32,54,13597
184,6349,40,52,13559
185,6373,41,52,13534
186,6397,38,58,13507
187,6418,44,58,13480
188,6444,41,64,13451
189,6473,43,64,13420
190,6501,48,65,13386
191,6531,45,66,13358
192,6558,41,67,13334
193,6569,46,76,13309
194,6600,49,75,13276
195,6620,45,85,13250
196,6646,46,87,13221
