Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19966,14,20,0
2,19961,11,27,1
3,19947,20,30,3
4,19932,30,30,8
5,19916,37,36,11
6,19891,51,44,14
7,19860,66,53,21
8,19814,93,62,31
9,19768,108,82,42
10,19715,127,106,52
11,19642,162,128,68
12,19548,217,150,85
13,19429,271,189,111
14,19299,325,243,133
15,19148,377,312,163
16,18927,497,372,204
17,18670,604,477,249
18,18343,763,590,304
19,17930,962,724,384
20,17475,1148,896,481
21,16946,1345,1115,594
22,16330,1580,1347,743
23,15611,1881,1589,919
24,14784,2151,1925,1140
25,13797,2572,2249,1382
26,12760,2888,2686,1666
27,11622,3208,3130,2040
28,10423,3502,3645,2430
29,9140,3830,4132,2898
30,7864,4029,4645,3462
31,6680,4141,5079,4100
32,5647,4060,5541,4752
33,4675,3933,5898,5494
34,3798,3668,6245,6289
35,3068,3354,6435,7143
36,2507,2928,6604,7961
37,2015,2598,6631,8756
38,1640,2232,6561,9567
39,1350,1903,6342,10405
40,1115,1660,6018,11207
41,959,1392,5658,11991
42,837,1130,5359,12674
43,737,921,4979,13363
44,645,793,4633,13929
45,602,650,4267,14481
46,579,551,3919,14951
47,553,472,3556,15419
48,541,399,3164,15896
49,542,330,2818,16310
50,555,275,2535,16635
51,571,226,2289,16914
52,581,209,2058,17152
53,596,205,1847,17352
54,616,195,1638,17551
55,668,162,1442,17728
56,715,149,1283,17853
57,758,120,1150,17972
58,794,114,1005,18087
59,843,96,916,18145
60,881,80,813,18226
61,915,78,714,18293
62,979,70,634,18317
63,1036,72,570,18322
64,1092,74,504,18330
65,1126,73,456,18345
66,1160,66,429,18345
67,1216,70,380,18334
68,1259,68,344,18329
69,1321,54,313,18312
70,1366,57,273,18304
71,1416,49,260,18275
72,1460,43,247,18250
73,1527,39,216,18218
74,1588,39,199,18174
75,1636,47,182,18135
76,1693,41,170,18096
77,1739,36,157,18068
78,1789,40,149,18022
79,1842,34,141,17983
80,1888,30,138,17944
81,1931,29,127,17913
82,1974,29,116,17881
83,2030,33,102,17835
84,2086,25,98,17791
85,2147,25,85,17743
86,2198,26,79,17697
87,2253,33,71,17643
88,2295,30,63,17612
89,2356,29,62,17553
90,2429,22,62,17487
91,2475,26,61,17438
92,2516,23,57,17404
